,Name,POS,Age,HT,WT,Exp,College,team
98,Anfernee Jennings33,LB,--,"6' 2""",252 lbs,R,Alabama,Patriots
99,Brandon King36,LB,26,"6' 2""",220 lbs,6,Auburn,Patriots
100,Cassh Maluia46,LB,21,"6' 0""",248 lbs,R,Wyoming,Patriots
101,Josh Uche6,LB,21,"6' 1""",241 lbs,R,Michigan,Patriots
102,Justin Bethel29,CB,29,"6' 0""",200 lbs,9,Presbyterian,Patriots
103,Myles Bryant5,CB,--,"5' 9""",185 lbs,R,Washington,Patriots
104,Stephon Gilmore24,CB,29,"6' 1""",202 lbs,9,South Carolina,Patriots
105,J.C. Jackson27,CB,24,"6' 1""",198 lbs,3,Maryland,Patriots
106,Jonathan Jones31,CB,26,"5' 10""",190 lbs,5,Auburn,Patriots
107,Jason McCourty30,CB,32,"5' 11""",195 lbs,12,Rutgers,Patriots
108,Adarius Pickett35,CB,23,"5' 11""",198 lbs,1,UCLA,Patriots
109,Lenzy Pipkins41,CB,26,"6' 0""",196 lbs,2,Oklahoma State,Patriots
110,D'Angelo Ross39,CB,23,"5' 9""",190 lbs,2,New Mexico,Patriots
111,Joejuan Williams33,CB,22,"6' 3""",212 lbs,2,Vanderbilt,Patriots
112,Terrence Brooks25,S,28,"5' 11""",205 lbs,7,Florida State,Patriots
113,Patrick Chung23,S,32,"5' 11""",215 lbs,12,Oregon,Patriots
114,Cody Davis22,S,30,"6' 2""",203 lbs,8,Texas Tech,Patriots
115,Kyle Dugger2,S,24,"6' 1""",220 lbs,R,Lenoir-Rhyne,Patriots
116,Malik Gant42,S,22,"6' 2""",203 lbs,2,Marshall,Patriots
117,Devin McCourty32,S,32,"5' 10""",195 lbs,11,Rutgers,Patriots
118,Adrian Phillips31,S,28,"5' 11""",210 lbs,6,Texas,Patriots
119,Henry Anderson96,DE,28,"6' 6""",301 lbs,6,Stanford,Jets
120,John Franklin-Myers56,DE,23,"6' 4""",288 lbs,3,Stephen F. Austin,Jets
121,Bronson Kaufusi91,DE,28,"6' 6""",275 lbs,3,BYU,Jets
122,Kyle Phillips98,DE,22,"6' 4""",277 lbs,2,Tennessee,Jets
123,Wyatt Ray43,DE,23,"6' 3""",250 lbs,1,Boston College,Jets
124,Charles Tapper80,DE,26,"6' 3""",270 lbs,3,Oklahoma,Jets
125,Jordan Willis60,DE,25,"6' 4""",270 lbs,4,Kansas State,Jets
126,Jabari Zuniga92,DE,22,"6' 3""",253 lbs,R,Florida,Jets
127,Domenique Davis,DT,--,"6' 3""",315 lbs,R,North Carolina Pembroke,Jets
128,Folorunso Fatukasi94,DT,25,"6' 4""",318 lbs,3,Connecticut,Jets
129,Sterling Johnson,DT,22,"6' 4""",280 lbs,R,Coastal Carolina,Jets
130,Steve McLendon99,DT,34,"6' 3""",310 lbs,11,Troy,Jets
131,Nathan Shepherd97,DT,26,"6' 4""",315 lbs,3,Fort Hays State,Jets
132,Quinnen Williams95,DT,22,"6' 3""",303 lbs,2,Alabama,Jets
133,Tarell Basham93,LB,26,"6' 4""",266 lbs,4,Ohio,Jets
134,B.J. Bello49,LB,25,"6' 3""",229 lbs,3,Illinois State,Jets
135,James Burgess58,LB,26,"6' 0""",230 lbs,4,Louisville,Jets
136,Blake Cashman53,LB,23,"6' 1""",237 lbs,2,Minnesota,Jets
137,Ahmad Gooden94,LB,24,"6' 2""",245 lbs,1,Samford,Jets
138,Neville Hewitt46,LB,27,"6' 2""",234 lbs,6,Marshall,Jets
139,Bryce Huff,LB,--,"6' 3""",255 lbs,R,Memphis,Jets
140,Jordan Jenkins48,LB,25,"6' 3""",259 lbs,5,Georgia,Jets
