,Name,POS,Age,HT,WT,Exp,College,team
3,Liam McCullough,LS,--,"6' 2""",237 lbs,R,Ohio State,Raiders
4,Trent Sieg47,LS,24,"6' 3""",240 lbs,3,Colorado State,Raiders
0,Michael Badgley4,PK,24,"5' 10""",183 lbs,3,Miami (FL),Chargers
1,Ty Long1,P,27,"6' 2""",205 lbs,2,UAB,Chargers
2,Cole Mazza45,LS,25,"6' 2""",235 lbs,2,Alabama,Chargers
0,Kai Forbath3,PK,32,"5' 11""",197 lbs,7,UCLA,Cowboys
1,Greg Zuerlein2,PK,32,"6' 0""",191 lbs,9,Missouri Western,Cowboys
2,Chris Jones6,P,30,"6' 0""",205 lbs,9,Carson-Newman,Cowboys
3,Joe Fortunato,LS,26,"6' 5""",240 lbs,1,Delaware,Cowboys
4,L.P. Ladouceur91,LS,39,"6' 5""",256 lbs,16,California,Cowboys
0,Aldrick Rosas2,PK,25,"6' 3""",233 lbs,4,Southern Oregon,Giants
1,Riley Dixon9,P,26,"6' 5""",226 lbs,5,Syracuse,Giants
2,Casey Kreiter58,LS,29,"6' 1""",250 lbs,5,Iowa,Giants
0,Jake Elliott4,PK,25,"5' 9""",167 lbs,4,Memphis,Eagles
1,Cameron Johnston1,P,28,"5' 11""",194 lbs,3,Ohio State,Eagles
2,Rick Lovato45,LS,27,"6' 2""",249 lbs,4,Old Dominion,Eagles
0,Dustin Hopkins3,PK,29,"6' 2""",205 lbs,7,Florida State,Redskins
1,Tress Way5,P,30,"6' 1""",220 lbs,7,Oklahoma,Redskins
2,Nick Sundberg57,LS,32,"6' 1""",245 lbs,11,California,Redskins
0,Ramiz Ahmed6,PK,--,"6' 0""",190 lbs,R,Nevada,Bears
1,Eddy Pineiro15,PK,24,"5' 11""",177 lbs,3,Florida,Bears
2,Pat O'Donnell16,P,29,"6' 4""",212 lbs,7,Miami (FL),Bears
3,Patrick Scales48,LS,32,"6' 3""",228 lbs,5,Utah State,Bears
0,Matt Prater5,PK,35,"5' 10""",201 lbs,14,UCF,Lions
1,Jack Fox3,P,23,"6' 2""",224 lbs,1,Rice,Lions
2,Arryn Siposs,P,27,"6' 2""",212 lbs,R,Auburn,Lions
3,Don Muhlbach48,LS,38,"6' 4""",258 lbs,17,Texas A&M,Lions
4,Steven Wirtel,LS,22,"6' 4""",227 lbs,R,Iowa State,Lions
0,Mason Crosby2,PK,35,"6' 1""",207 lbs,14,Colorado,Packers
1,JK Scott6,P,24,"6' 6""",208 lbs,3,Alabama,Packers
2,Hunter Bradley43,LS,25,"6' 3""",241 lbs,3,Mississippi State,Packers
0,Dan Bailey5,PK,32,"6' 0""",190 lbs,10,Oklahoma State,Vikings
1,Britton Colquitt2,P,35,"6' 3""",210 lbs,11,Tennessee,Vikings
2,Austin Cutting58,LS,23,"6' 3""",245 lbs,2,Air Force,Vikings
0,Younghoe Koo7,PK,25,"5' 9""",185 lbs,2,Georgia Southern,Falcons
1,Ryan Allen9,P,30,"6' 2""",220 lbs,8,Louisiana Tech,Falcons
2,Sterling Hofrichter4,P,--,"5' 9""",199 lbs,R,Syracuse,Falcons
3,Josh Harris47,LS,31,"6' 1""",240 lbs,9,Auburn,Falcons
0,Graham Gano9,PK,33,"6' 2""",202 lbs,11,Florida State,Panthers
1,Joey Slye4,PK,24,"5' 11""",213 lbs,2,Virginia Tech,Panthers
2,Michael Palardy2,P,27,"5' 11""",200 lbs,5,Tennessee,Panthers
3,J.J. Jansen44,LS,34,"6' 2""",235 lbs,13,Notre Dame,Panthers
0,Wil Lutz3,PK,25,"5' 11""",184 lbs,5,Georgia State,Saints
1,Blake Gillikin,P,22,"6' 2""",196 lbs,R,Penn State,Saints
2,Thomas Morstead6,P,34,"6' 4""",235 lbs,12,SMU,Saints
3,Zach Wood49,LS,27,"6' 3""",255 lbs,4,SMU,Saints
0,Elliott Fry,PK,25,"6' 0""",170 lbs,1,South Carolina,Buccaneers
1,Matt Gay9,PK,26,"6' 0""",232 lbs,2,Utah,Buccaneers
2,Bradley Pinion8,P,25,"6' 5""",229 lbs,6,Clemson,Buccaneers
3,Zach Triner97,LS,29,"6' 3""",245 lbs,2,Assumption,Buccaneers
0,Zane Gonzalez5,PK,24,"6' 0""",202 lbs,4,Arizona State,Cardinals
1,Andy Lee4,P,37,"6' 1""",185 lbs,17,Pittsburgh,Cardinals
2,Ryan Winslow9,P,26,"6' 5""",217 lbs,1,Pittsburgh,Cardinals
3,Aaron Brewer46,LS,29,"6' 5""",232 lbs,9,San Diego State,Cardinals
0,Lirim Hajrullahu6,PK,30,"5' 11""",205 lbs,1,Western Ontario,Rams
1,Austin MacGinnis8,PK,24,"5' 10""",175 lbs,1,Kentucky,Rams
2,Sam Sloman79,PK,22,"5' 8""",205 lbs,R,Miami (OH),Rams
3,Johnny Hekker6,P,30,"6' 5""",241 lbs,9,Oregon State,Rams
4,Jake McQuaide44,LS,32,"6' 2""",235 lbs,10,Ohio State,Rams
0,Robbie Gould9,PK,37,"6' 0""",190 lbs,16,Penn State,49ers
1,Mitch Wishnowsky6,P,28,"6' 2""",220 lbs,2,Utah,49ers
2,Kyle Nelson86,LS,33,"6' 2""",240 lbs,9,New Mexico State,49ers
0,Jason Myers5,PK,28,"5' 10""",190 lbs,6,Marist,Seahawks
1,Michael Dickson4,P,24,"6' 2""",208 lbs,3,Texas,Seahawks
2,Tyler Ott69,LS,28,"6' 3""",253 lbs,6,Harvard,Seahawks
