,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,PlayerID
196,16,26,41,538,20.7,6,83,9,33.6,0,0,305,18,Mecole Hardman17
197,16,32,55,449,14.0,4,44,7,28.1,0,0,105,19,Demarcus Robinson11
198,11,30,37,213,7.1,2,32,1,19.4,0,0,241,10,Damien Williams26
199,16,12,16,170,14.2,1,28,3,10.6,0,0,63,7,Byron Pringle13
200,12,15,19,167,11.1,1,52,2,13.9,0,0,188,7,Darrel Williams31
201,15,8,15,67,8.4,0,30,1,4.5,0,0,10,3,Blake Bell80
202,9,3,4,50,16.7,0,24,1,5.6,0,0,32,2,Deon Yelder82
203,12,9,10,43,4.8,0,19,0,3.6,0,0,65,2,Darwin Thompson34
204,16,2,3,22,11.0,0,15,0,1.4,0,0,27,2,Anthony Sherman42
205,6,1,2,6,6.0,0,6,0,1.0,0,0,3,0,De'Anthony Thomas16
206,16,90,117,1145,12.7,3,75,14,71.6,1,1,601,53,Darren Waller83
207,14,42,64,651,15.5,6,46,12,46.5,0,0,204,33,Tyrell Williams16
208,13,49,71,605,12.3,4,65,7,46.5,0,0,327,31,Hunter Renfrow13
209,16,36,43,323,9.0,0,33,5,20.2,1,0,249,15,Jalen Richard30
210,16,36,41,292,8.1,0,28,4,18.3,0,0,255,10,DeAndre Washington24
211,13,21,25,174,8.3,5,23,1,13.4,0,0,106,14,Foster Moreau87
212,13,20,27,166,8.3,0,28,2,12.8,0,0,188,8,Josh Jacobs28
213,8,11,14,133,12.1,0,31,1,16.6,0,0,58,6,Keelan Doss18
214,11,5,10,116,23.2,0,36,3,10.5,1,1,29,3,Marcell Ateman88
215,16,13,19,108,8.3,1,25,2,6.8,0,0,50,4,Derek Carrier85
216,9,7,10,83,11.9,0,21,1,9.2,1,1,58,3,Trevor Davis
217,2,1,1,28,28.0,0,28,1,14.0,0,0,11,1,Trevor Davis
218,4,2,2,66,33.0,1,49,1,16.5,0,0,18,2,Rico Gafford10
219,16,6,6,44,7.3,1,14,0,2.8,0,0,41,4,Alec Ingold45
220,16,104,149,1199,11.5,6,45,15,74.9,0,0,368,63,Keenan Allen13
221,15,49,90,1001,20.4,2,56,17,66.7,0,0,219,41,Mike Williams81
222,16,92,108,993,10.8,8,84,9,62.1,2,1,944,42,Austin Ekeler30
223,12,55,76,652,11.9,5,30,8,54.3,1,1,174,36,Hunter Henry86
224,12,42,55,296,7.0,1,25,2,24.7,1,1,331,11,Melvin Gordon25
225,15,9,13,78,8.7,1,15,0,5.2,0,0,43,4,Virgil Green88
226,13,6,17,56,9.3,0,15,0,4.3,0,0,28,4,Andre Patton16
227,10,2,5,43,21.5,0,32,1,4.3,0,0,7,2,Jason Moore89
228,7,3,3,38,12.7,0,19,0,5.4,0,0,2,1,Geremy Davis11
229,16,3,5,32,10.7,0,21,1,2.0,0,0,28,1,Derek Watt34
230,5,6,16,30,5.0,0,13,0,6.0,0,0,16,3,Travis Benjamin17
231,7,9,11,22,2.4,0,9,0,3.1,0,0,39,0,Justin Jackson22
232,16,79,119,1189,15.1,8,53,17,74.3,0,0,245,54,Amari Cooper19
233,14,66,113,1107,16.8,6,62,18,79.1,0,0,343,50,Michael Gallup13
234,15,55,83,828,15.1,3,59,15,55.2,2,1,343,41,Randall Cobb18
235,16,63,83,529,8.4,4,33,2,33.1,1,1,171,27,Jason Witten82
236,16,54,71,420,7.8,2,27,3,26.3,0,0,402,21,Ezekiel Elliott21
237,16,31,41,365,11.8,3,42,8,22.8,1,0,160,17,Blake Jarwin89
238,4,5,9,113,22.6,1,51,2,28.3,0,0,31,4,Devin Smith15
239,15,15,20,107,7.1,1,21,1,7.1,0,0,139,4,Tony Pollard20
240,6,5,8,46,9.2,0,14,0,7.7,0,0,13,2,Cedrick Wilson11
241,12,1,1,15,15.0,1,15,0,1.3,0,0,0,1,Ventell Bryant83
242,16,1,2,6,6.0,0,6,0,0.4,0,0,1,0,Dalton Schultz86
243,14,48,84,740,15.4,8,55,12,52.9,0,0,198,32,Darius Slayton86
244,11,49,85,676,13.8,6,64,10,61.5,1,1,289,30,Golden Tate15
245,10,57,83,576,10.1,3,36,8,57.6,0,0,180,29,Sterling Shepard87
246,8,44,68,467,10.6,3,75,4,58.4,0,0,254,23,Evan Engram88
247,13,52,73,438,8.4,2,65,6,33.7,1,0,441,14,Saquon Barkley26
248,15,24,42,300,12.5,2,43,4,20.0,0,0,80,19,Cody Latimer12
249,9,31,42,268,8.6,3,32,3,29.8,2,0,89,12,Kaden Smith82
250,10,11,15,102,9.3,1,21,3,10.2,0,0,109,4,Wayne Gallman22
251,16,3,5,28,9.3,0,11,0,1.8,0,0,3,2,Cody Core17
252,5,2,3,22,11.0,0,11,0,4.4,0,0,14,2,Da'Mari Scott18
253,16,2,4,9,4.5,0,9,0,0.6,0,0,21,0,Elijhaa Penny39
254,3,3,4,1,0.3,0,5,0,0.3,1,1,9,0,Jonathan Hilliman28
255,15,88,135,916,10.4,6,30,12,61.1,1,1,276,50,Zach Ertz86
256,15,58,87,607,10.5,5,28,8,40.5,2,2,363,33,Dallas Goedert88
257,16,50,63,509,10.2,3,45,8,31.8,0,0,419,19,Miles Sanders26
258,10,43,73,490,11.4,4,38,6,49.0,0,0,133,36,Alshon Jeffery17
259,11,39,69,363,9.3,3,43,5,33.0,2,1,146,17,Nelson Agholor13
260,7,28,40,254,9.1,1,38,1,36.3,0,0,105,18,Greg Ward Jr.84
261,11,24,26,204,8.5,0,39,2,18.5,1,0,277,10,Boston Scott35
262,16,10,22,169,16.9,1,30,4,10.6,0,0,21,7,J.J. Arcega-Whiteside19
263,3,9,10,159,17.7,2,53,2,53.0,0,0,13,6,DeSean Jackson10
264,12,10,21,125,12.5,0,20,1,10.4,0,0,40,7,Mack Hollins86
265,5,9,13,87,9.7,1,24,1,17.4,0,0,28,5,Josh Perkins81
266,10,10,14,69,6.9,1,20,1,6.9,0,0,72,3,Jordan Howard24
267,1,2,4,48,24.0,0,41,1,48.0,0,0,6,1,Deontay Burnett16
268,3,1,3,6,6.0,0,6,0,2.0,0,0,2,1,Robert Davis14
269,3,1,2,11,11.0,0,11,0,3.7,0,0,0,1,Robert Davis14
270,14,58,93,919,15.8,7,75,15,65.6,0,0,220,43,Terry McLaurin17
271,11,42,58,378,9.0,0,39,3,34.4,1,0,347,16,Chris Thompson25
272,11,42,58,378,9.0,0,39,3,34.4,1,0,347,16,Chris Thompson2
273,16,30,44,365,12.2,0,30,8,22.8,0,0,98,16,Kelvin Harmon13
274,16,34,56,310,9.1,4,65,2,19.4,0,0,167,18,Steven Sims Jr.15
275,16,26,40,241,9.3,1,23,2,15.1,1,0,102,13,Jeremy Sprinkle87
276,12,26,47,198,7.6,1,19,0,16.5,1,1,58,10,Trey Quinn18
277,15,17,23,142,8.4,0,22,3,9.5,1,1,160,7,Adrian Peterson26
278,11,8,14,103,12.9,1,24,2,9.4,0,0,48,6,Hale Hentges88
279,5,7,9,79,11.3,1,45,1,15.8,0,0,88,2,Derrius Guice29
280,7,2,3,27,13.5,0,15,0,3.9,0,0,9,1,Cam Sims89
281,16,98,154,1147,11.7,7,49,15,71.7,0,0,279,63,Allen Robinson II12
282,16,52,85,656,12.6,2,35,11,41.0,0,0,227,34,Anthony Miller17
283,16,79,104,456,5.8,3,31,2,28.5,1,0,437,18,Tarik Cohen29
284,16,18,39,186,10.3,1,37,1,11.6,0,0,42,9,Javon Wims83
285,16,25,35,185,7.4,1,30,2,11.6,0,0,169,7,David Montgomery32
286,14,7,8,91,13.0,0,30,1,6.5,0,0,81,4,J.P. Holtz81
287,6,8,10,87,10.9,1,20,1,14.5,0,0,36,4,Jesper Horsted49
288,8,14,24,84,6.0,0,16,0,10.5,0,0,39,5,Trey Burton80
289,16,11,17,83,7.5,0,33,1,5.2,0,0,74,3,Cordarrelle Patterson84
290,8,9,13,74,8.2,0,18,0,9.3,0,0,38,3,Adam Shaheen87
291,5,6,7,69,11.5,0,32,1,13.8,0,0,17,4,Riley Ridley88
292,11,6,11,59,9.8,1,18,0,5.4,0,0,24,5,Ben Braunecker82
293,7,7,8,22,3.1,0,7,0,3.1,0,0,30,1,Mike Davis27
294,2,2,3,21,10.5,0,11,0,10.5,0,0,20,1,Eric Saubert43
295,16,65,116,1190,18.3,11,75,22,74.4,1,1,301,52,Kenny Golladay19
296,13,62,91,779,12.6,9,47,12,59.9,0,0,121,41,Marvin Jones Jr.11
297,15,62,97,678,10.9,1,47,6,45.2,0,0,218,36,Danny Amendola80
298,12,32,59,367,11.5,2,39,6,30.6,0,0,202,19,T.J. Hockenson88
299,9,7,11,261,37.3,1,58,6,29.0,0,0,40,7,Marvin Hall17
300,16,34,42,233,6.9,1,26,3,14.6,0,0,240,7,J.D. McKissic41
301,16,16,28,173,10.8,1,17,0,10.8,0,0,82,10,Logan Thomas82
302,16,16,27,142,8.9,0,23,1,8.9,0,0,65,8,Jesse James83
303,8,10,15,127,12.7,1,36,3,15.9,0,0,122,7,Kerryon Johnson33
304,16,24,31,109,4.5,0,13,0,6.8,1,1,97,4,Ty Johnson31
305,7,3,10,60,20.0,0,48,1,8.6,0,0,9,2,Chris Lacy15
306,5,1,1,19,19.0,1,19,0,3.8,0,0,5,1,David Blough10
307,10,4,6,17,4.3,0,10,0,1.7,0,0,22,1,Nick Bawden46
308,6,2,3,13,6.5,0,10,0,2.2,0,0,7,1,Isaac Nauta89
309,3,1,1,6,6.0,0,6,0,2.0,0,0,10,0,Jeff Driskel9
310,6,1,4,5,5.0,0,5,0,0.8,0,0,8,0,Bo Scarbrough43
311,1,2,2,1,0.5,0,2,0,1.0,0,0,3,0,Wes Hills36
312,13,1,2,-2,-2.0,0,0,0,-0.2,0,0,1,0,Jamal Agnew39
313,12,83,127,997,12.0,5,58,12,83.1,2,1,393,54,Davante Adams17
314,16,35,52,477,13.6,3,43,6,29.8,0,0,145,24,Allen Lazard13
315,16,49,68,474,9.7,3,67,6,29.6,1,1,453,18,Aaron Jones33
316,16,26,56,452,17.4,2,74,7,28.3,0,0,152,14,Marquez Valdes-Scantling83
317,16,38,60,447,11.8,3,48,7,27.9,1,0,256,23,Jimmy Graham80
318,16,34,55,287,8.4,2,31,3,17.9,2,1,118,16,Geronimo Allison81
