,GP,TACKLES_SOLO,TACKLES_AST,TACKLES_TOT,SACKS,SACKS_SCKYDS,SACKS_TFL,INTERCEPTIONS_PD,INTERCEPTIONS_INT,INTERCEPTIONS_YDS,INTERCEPTIONS_LNG,INTERCEPTIONS_TD,FUMBLES_FF,FUMBLES_FR,FUMBLES_FTD,KB,PlayerID
191,14,13,21,34,1.0,6,2.0,0,0,0,0,0,0,1,0,0,Brandon Williams98
192,16,17,16,33,1.5,7,3.0,2,0,0,0,0,0,0,0,0,Chris Wormley93
193,14,20,11,31,2.5,18,6.5,1,0,0,0,0,0,1,0,0,Jaylon Ferguson45
194,9,28,2,30,1.0,8,1.5,6,1,7,7,0,0,0,0,0,Jimmy Smith22
195,16,20,4,24,5.0,35,4.5,2,0,0,0,0,1,1,1,0,Tyus Bowser54
196,9,14,1,15,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Anthony Averett34
197,5,11,2,13,0.0,0,3.0,0,0,0,0,0,1,0,0,0,Kenny Young41
198,9,4,0,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Kenny Young41
199,15,6,4,10,0.0,0,2.0,0,0,0,0,0,1,0,0,0,Chris Board49
200,16,8,1,9,1.0,10,2.0,1,0,0,0,0,1,0,0,1,Patrick Ricard42
201,11,3,4,7,1.0,8,1.0,0,0,0,0,0,0,2,0,0,Jihad Ward53
202,4,2,4,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Justin Ellis71
203,8,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,De'Anthony Thomas16
204,14,2,2,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Chris Moore10
205,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Gus Edwards35
206,4,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Tim Williams47
207,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Nick Boyle86
208,14,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Ronnie Stanley79
209,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Justice Hill43
210,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mark Ingram II21
211,11,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Patrick Mekari65
212,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Sam Koch4
213,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Bradley Bozeman77
214,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Lamar Jackson21
215,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Lamar Jackson8
216,3,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Iman Marshall37
217,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mark Andrews89
218,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Willie Snead IV83
