,Rank,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,OWN,Year,TeamID
114,17,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2015,ATL
115,17,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2016,ATL
116,17,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2017,ATL
117,29,37,15,4,8,2,0,0,16,77.0,4.8,0.9%,2018,ATL
118,22,28,12,8,13,2,0,1,16,90.0,5.6,0.9%,2019,ATL
119,18,0,0,0,0,0,0,0,0,0.0,0.0,26.1%,2013,KC
120,18,0,0,0,0,0,0,0,0,0.0,0.0,26.1%,2014,KC
121,18,0,0,0,0,0,0,0,0,0.0,0.0,26.1%,2015,KC
122,18,0,0,0,0,0,0,0,0,0.0,0.0,26.1%,2016,KC
123,18,0,0,0,0,0,0,0,0,0.0,0.0,26.1%,2017,KC
124,7,53,15,12,21,4,0,1,16,123.0,7.7,26.1%,2018,KC
125,8,45,16,7,12,3,0,1,16,136.0,8.5,26.1%,2019,KC
126,20,0,0,0,0,0,0,0,0,0.0,0.0,72.1%,2013,IND
127,20,0,0,0,0,0,0,0,0,0.0,0.0,72.1%,2014,IND
128,20,0,0,0,0,0,0,0,0,0.0,0.0,72.1%,2015,IND
129,20,0,0,0,0,0,0,0,0,0.0,0.0,72.1%,2016,IND
130,20,0,0,0,0,0,0,0,0,0.0,0.0,72.1%,2017,IND
131,11,38,15,11,15,0,0,0,16,116.0,7.3,72.1%,2018,IND
132,14,41,15,8,13,1,2,2,16,114.0,7.1,72.1%,2019,IND
133,21,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2013,HOU
134,21,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2014,HOU
135,21,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2015,HOU
136,21,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2016,HOU
137,21,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2017,HOU
138,3,43,15,14,19,4,0,0,16,144.0,9.0,2.6%,2018,HOU
139,23,31,12,10,14,2,0,0,16,90.0,5.6,2.6%,2019,HOU
140,22,0,0,0,0,0,0,0,0,0.0,0.0,4.0%,2013,GB
141,22,0,0,0,0,0,0,0,0,0.0,0.0,4.0%,2014,GB
142,22,0,0,0,0,0,0,0,0,0.0,0.0,4.0%,2015,GB
143,22,0,0,0,0,0,0,0,0,0.0,0.0,4.0%,2016,GB
144,22,0,0,0,0,0,0,0,0,0.0,0.0,4.0%,2017,GB
145,24,44,7,8,8,1,0,0,16,92.0,5.8,4.0%,2018,GB
146,16,41,17,7,12,0,0,0,16,108.0,6.8,4.0%,2019,GB
147,23,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2013,DET
148,23,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2014,DET
149,23,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2015,DET
150,23,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2016,DET
151,23,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2017,DET
152,20,43,7,7,9,2,0,0,16,98.0,6.1,1.4%,2018,DET
153,30,28,7,11,13,1,0,2,16,66.0,4.1,1.4%,2019,DET
154,24,0,0,0,0,0,0,0,0,0.0,0.0,62.2%,2013,DEN
155,24,0,0,0,0,0,0,0,0,0.0,0.0,62.2%,2014,DEN
156,24,0,0,0,0,0,0,0,0,0.0,0.0,62.2%,2015,DEN
157,24,0,0,0,0,0,0,0,0,0.0,0.0,62.2%,2016,DEN
158,24,0,0,0,0,0,0,0,0,0.0,0.0,62.2%,2017,DEN
159,8,44,17,10,13,2,0,0,16,122.0,7.6,62.2%,2018,DEN
160,18,40,10,6,8,1,0,0,16,99.0,6.2,62.2%,2019,DEN
161,25,0,0,0,0,0,0,0,0,0.0,0.0,20.2%,2013,DAL
162,25,0,0,0,0,0,0,0,0,0.0,0.0,20.2%,2014,DAL
163,25,0,0,0,0,0,0,0,0,0.0,0.0,20.2%,2015,DAL
164,25,0,0,0,0,0,0,0,0,0.0,0.0,20.2%,2016,DAL
165,25,0,0,0,0,0,0,0,0,0.0,0.0,20.2%,2017,DAL
166,21,39,9,11,14,1,0,0,16,98.0,6.1,20.2%,2018,DAL
167,19,39,7,10,13,1,0,0,16,99.0,6.2,20.2%,2019,DAL
168,26,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2013,CLE
169,26,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2014,CLE
170,26,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2015,CLE
171,26,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2016,CLE
172,26,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2017,CLE
173,22,37,17,14,16,0,1,0,16,98.0,6.1,2.7%,2018,CLE
174,24,38,14,6,12,1,0,0,16,87.0,5.4,2.7%,2019,CLE
175,27,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,2013,CIN
176,27,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,2014,CIN
177,27,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,2015,CIN
178,27,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,2016,CIN
179,27,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,2017,CIN
180,28,33,12,6,9,5,0,0,16,83.0,5.2,1.5%,2018,CIN
181,31,31,11,5,9,0,1,1,16,61.0,3.8,1.5%,2019,CIN
182,28,0,0,0,0,0,0,0,0,0.0,0.0,80.0%,2013,CHI
183,28,0,0,0,0,0,0,0,0,0.0,0.0,80.0%,2014,CHI
184,28,0,0,0,0,0,0,0,0,0.0,0.0,80.0%,2015,CHI
185,28,0,0,0,0,0,0,0,0,0.0,0.0,80.0%,2016,CHI
186,28,0,0,0,0,0,0,0,0,0.0,0.0,80.0%,2017,CHI
187,1,50,27,9,17,6,1,0,16,191.0,11.9,80.0%,2018,CHI
188,20,32,10,9,12,1,1,1,16,96.0,6.0,80.0%,2019,CHI
189,29,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2013,CAR
190,29,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2014,CAR
191,29,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2015,CAR
192,29,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2016,CAR
193,29,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2017,CAR
194,26,35,13,9,13,1,0,0,16,88.0,5.5,1.4%,2018,CAR
195,21,53,14,7,8,1,2,0,16,91.0,5.7,1.4%,2019,CAR
196,30,0,0,0,0,0,0,0,0,0.0,0.0,97.1%,2013,BUF
197,30,0,0,0,0,0,0,0,0,0.0,0.0,97.1%,2014,BUF
198,30,0,0,0,0,0,0,0,0,0.0,0.0,97.1%,2015,BUF
199,30,0,0,0,0,0,0,0,0,0.0,0.0,97.1%,2016,BUF
200,30,0,0,0,0,0,0,0,0,0.0,0.0,97.1%,2017,BUF
201,16,36,16,11,18,0,1,0,16,107.0,6.7,97.1%,2018,BUF
202,12,44,14,9,15,0,1,1,16,130.0,8.1,97.1%,2019,BUF
203,31,0,0,0,0,0,0,0,0,0.0,0.0,97.0%,2013,BAL
204,31,0,0,0,0,0,0,0,0,0.0,0.0,97.0%,2014,BAL
205,31,0,0,0,0,0,0,0,0,0.0,0.0,97.0%,2015,BAL
206,31,0,0,0,0,0,0,0,0,0.0,0.0,97.0%,2016,BAL
207,31,0,0,0,0,0,0,0,0,0.0,0.0,97.0%,2017,BAL
208,5,43,12,5,8,3,0,1,16,126.0,7.9,97.0%,2018,BAL
209,4,37,13,12,15,6,1,0,16,154.0,9.6,97.0%,2019,BAL
210,32,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,2013,WAS
211,32,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,2014,WAS
212,32,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,2015,WAS
213,32,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,2016,WAS
214,32,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,2017,WAS
215,10,46,15,11,18,1,0,0,16,120.0,7.5,2.1%,2018,WAS
216,25,46,13,9,15,0,0,1,16,86.0,5.4,2.1%,2019,WAS
