PlayerID,Salary
Ty Sambrailo74,2000000
Andy Lee4,2000000
Ha Ha Clinton-Dix27,2000000
Jason Witten82,2000000
Le'Veon Bell26,2000000
Sean Lee50,2000000
Jason McCourty30,2000000
Breshad Perriman19,2000000
James Carpenter77,2000000
Joe Thuney62,1995000
Golden Tate15,1975000
Tyreek Hill10,1965036
Taylor Decker68,1945498
Keanu Neal22,1914224
Greg Olsen88,1900000
Lee Smith85,1900000
Michael Thomas31,1900000
Michael Thomas13,1900000
Michael Thomas31,1148041
Michael Thomas13,1148041
Patrick Chung23,1900000
Saquon Barkley26,1897943
Ryan Kelly78,1875134
Marshon Lattimore23,1861324
Shaq Lawson90,1851679
Josh Doctson13,1820405
Denzel Ward21,1805698
Laquon Treadwell80,1804770
Brett Kern6,1800000
Chris Jones95,1800000
Chris Jones25,1800000
Chris Jones6,1800000
Chris Jones95,1199714
Chris Jones25,1199714
Chris Jones6,1199714
Chris Jones95,570000
Chris Jones25,570000
Chris Jones6,570000
Duke Johnson25,1800000
Tyler Kroft81,1800000
Artie Burns25,1757861
Kwon Alexander56,1750000
Joe Thomas48,1750000
Cody Davis22,1750000
Rex Burkhead34,1750000
Ryan Tannehill17,1750000
Quinton Spain67,1750000
Kenny Clark97,1726588
Deshaun Watson4,1724480
Seth Roberts15,1700000
Haason Reddick43,1690270
Derek Barnett96,1633252
Malik Hooker29,1610446
Derek Carrier85,1600000
Matthew Slater18,1600000
Patrick DiMarco42,1600000
Germain Ifedi74,1577060
K'Waun Williams24,1550000
Tevin Coleman26,1550000
Marlon Humphrey44,1542044
Jonathan Allen93,1519216
J.R. Sweezy64,1500000
DeMarcus Lawrence90,1500000
Jamison Crowder82,1500000
Sherrick McManis27,1500000
Jonotthan Harrison78,1500000
Justin Bethel29,1500000
Tress Way5,1500000
Mark Glowinski64,1500000
Steve McLendon99,1500000
Carl Davis79,1500000
Zach Kerr92,1500000
Jason Myers5,1500000
Rodney McLeod23,1500000
Greg Mancz65,1500000
K.J. Wright50,1500000
Adrian Phillips31,1500000
Brandon Copeland51,1500000
C.J. Uzomah87,1500000
Steven Nelson22,1500000
Ryan Fitzpatrick14,1500000
Adoree' Jackson25,1490708
Ben Banogu52,1482500
Randy Bullock4,1475000
O.J. Howard80,1473602
Garett Bolles72,1467900
Jarrad Davis40,1462198
Charles Harris,1450794
Geronimo Allison81,1450000
Jarrod Wilson26,1450000
Evan Engram88,1439391
Gareon Conley22,1416584
Tom Compton66,1410000
Jabrill Peppers21,1405181
Drew Brees9,1400000
Raheem Mostert31,1400000
Keith Smith40,1400000
Alex Erickson12,1400000
Takkarist McKinley98,1393775
Tre'Davious White27,1382374
Taco Charlton96,1376672
Eric Rowe21,1375000
Nick Dzubnar48,1375000
Emmanuel Ogbah90,1351315
Dennis Kelly71,1350000
Billy Turner77,1350000
Spencer Long61,1350000
Jaylon Smith54,1335678
David Njoku85,1330918
Roquan Smith58,1319871
Myles Jack44,1313787
T.J. Watt90,1306688
Rashaan Melvin22,1300000
Xavien Howard25,1285642
Erik Harris25,1275000
Ryan Ramczyk71,1273323
Noah Spence57,1273132
Sterling Shepard87,1260623
Pat O'Donnell16,1250000
Adrian Amos31,1250000
Stefen Wisniewski61,1250000
Al Woods97,1250000
Roosevelt Nix33,1250000
Beau Brinkley48,1250000
Matt Barkley5,1250000
Teddy Bridgewater5,1250000
Demetrius Harris86,1250000
Tyson Alualu94,1250000
Kenny Vaccaro24,1250000
Bruce Irvin51,1250000
Kamalei Correa44,1234043
Minkah Fitzpatrick39,1227626
Deshazor Everett22,1225000
Austin Johnson98,1222122
Kendall Lamm70,1200000
Reggie Ragland59,1196551
Derrick Henry22,1187445
Hunter Henry86,1170042
A'Shawn Robinson91,1163678
Vita Vea50,1153829
Kyle Wilber58,1150000
Jordan Berry4,1150000
Vernon Butler92,1144980
Tre Boston33,1125000
Mike Remmers75,1125000
Brett Hundley7,1125000
Jarran Reed91,1116769
Kevin King20,1108717
Cam Robinson74,1103015
Nick Martin66,1101133
Mark Nzeocha53,1100000
Max Garcia73,1100000
Aaron Rodgers12,1100000
Jason Verrett22,1100000
Eric Kush72,1100000
Kolton Miller74,1092333
Budda Baker32,1085910
Zay Jones12,1081348
Forrest Lamp77,1071084
Deion Jones45,1069860
Marcus Maye20,1060822
