,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
126,23,0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.6%,2013,Dalvin Tomlinson94
127,352,0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.6%,2014,Dalvin Tomlinson94
128,344,0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.6%,2015,Dalvin Tomlinson94
129,397,0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.6%,2016,Dalvin Tomlinson94
130,79,30,20,1.0,1,0,0,0,0,16,73.6,4.6,10.6%,2017,Dalvin Tomlinson94
131,76,29,30,0.0,0,0,0,0,0,16,78.8,4.9,10.6%,2018,Dalvin Tomlinson94
132,57,23,26,3.5,0,0,1,0,0,16,89.8,5.6,10.6%,2019,Dalvin Tomlinson94
133,24,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Charles Harris
134,410,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Charles Harris
135,370,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Charles Harris
136,334,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Charles Harris
137,123,15,4,2.0,2,0,0,1,0,16,55.4,3.5,0.0%,2017,Charles Harris
138,178,8,11,1.0,0,0,0,0,0,11,29.5,2.7,0.0%,2018,Charles Harris
139,167,11,12,0.5,0,0,0,0,0,14,35.3,2.5,0.0%,2019,Charles Harris
140,25,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,Ryan Glasgow98
141,393,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,Ryan Glasgow98
142,385,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,Ryan Glasgow98
143,392,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,Ryan Glasgow98
144,159,12,11,0.0,0,0,0,0,0,16,38.5,2.4,0.8%,2017,Ryan Glasgow98
145,210,6,5,0.0,0,0,0,0,0,3,16.1,5.4,0.8%,2018,Ryan Glasgow98
146,264,1,6,0.0,0,0,0,0,0,5,6.1,1.2,0.8%,2019,Ryan Glasgow98
147,26,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.4%,2013,Deatrich Wise Jr.91
148,391,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.4%,2014,Deatrich Wise Jr.91
149,386,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.4%,2015,Deatrich Wise Jr.91
150,394,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.4%,2016,Deatrich Wise Jr.91
151,101,16,10,5.0,1,0,0,0,0,16,63.9,4.0,2.4%,2017,Deatrich Wise Jr.91
152,105,15,15,4.5,0,0,0,0,0,16,62.1,3.9,2.4%,2018,Deatrich Wise Jr.91
153,130,20,6,2.0,0,0,1,0,0,14,54.1,3.9,2.4%,2019,Deatrich Wise Jr.91
154,27,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2013,Derek Rivers95
155,390,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2014,Derek Rivers95
156,387,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2015,Derek Rivers95
157,395,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2016,Derek Rivers95
158,343,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2017,Derek Rivers95
159,233,2,0,1.0,0,0,0,0,0,6,9.5,1.6,1.5%,2018,Derek Rivers95
160,330,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.5%,2019,Derek Rivers95
161,28,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Harvey Langi44
162,389,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Harvey Langi44
163,388,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Harvey Langi44
164,396,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Harvey Langi44
165,341,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,Harvey Langi44
166,348,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Harvey Langi44
167,331,5,3,0.0,1,0,0,0,0,16,0.0,0.0,0.0%,2019,Harvey Langi44
168,29,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Vincent Taylor96
169,383,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Vincent Taylor96
170,382,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Vincent Taylor96
171,384,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Vincent Taylor96
172,195,11,7,0.0,1,0,0,0,0,13,26.6,2.0,0.0%,2017,Vincent Taylor96
173,137,15,12,2.0,0,0,0,0,0,8,47.2,5.9,0.0%,2018,Vincent Taylor96
174,225,6,0,0.0,1,0,0,0,0,3,13.0,4.3,0.0%,2019,Vincent Taylor96
175,30,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.1%,2013,Davon Godchaux56
176,386,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.1%,2014,Davon Godchaux56
177,377,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.1%,2015,Davon Godchaux56
178,358,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.1%,2016,Davon Godchaux56
179,104,26,14,0.0,1,0,1,0,0,15,62.2,4.1,16.1%,2017,Davon Godchaux56
180,72,31,17,1.0,0,0,0,0,0,16,79.4,5.0,16.1%,2018,Davon Godchaux56
