,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
2302,621,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Brandon Copeland51
2303,84,23,11,5.0,2,0,0,0,0,16,86.0,5.4,0.0%,2018,Brandon Copeland51
2304,111,22,13,1.5,2,0,0,0,0,13,64.5,5.0,0.0%,2019,Brandon Copeland51
2305,620,0,0,0.0,0,0,0,0,0,0,0.0,0.0,78.2%,2013,Jordan Hicks58
2306,657,0,0,0.0,0,0,0,0,0,0,0.0,0.0,78.2%,2014,Jordan Hicks58
2307,68,42,7,1.0,3,2,1,3,1,8,112.2,14.0,78.2%,2015,Jordan Hicks58
2308,34,58,27,1.0,11,5,0,1,0,16,178.8,11.2,78.2%,2016,Jordan Hicks58
2309,140,19,9,0.0,0,0,0,1,0,7,41.7,6.0,78.2%,2017,Jordan Hicks58
2310,43,60,30,3.0,5,0,0,1,0,12,148.0,12.3,78.2%,2018,Jordan Hicks58
2311,1,93,57,1.5,6,3,2,1,0,16,252.3,15.8,78.2%,2019,Jordan Hicks58
2312,621,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Mark Nzeocha53
2313,658,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Mark Nzeocha53
2314,632,0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%,2015,Mark Nzeocha53
2315,225,2,0,0.0,0,0,0,0,0,6,3.0,0.5,0.0%,2016,Mark Nzeocha53
2316,595,0,0,0.0,0,0,0,0,0,10,0.0,0.0,0.0%,2017,Mark Nzeocha53
2317,137,12,5,1.0,1,0,1,0,0,16,33.9,2.1,0.0%,2018,Mark Nzeocha53
2318,190,2,0,0.0,1,1,0,0,0,16,9.5,0.6,0.0%,2019,Mark Nzeocha53
2319,622,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.7%,2013,Damien Wilson54
2320,659,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.7%,2014,Damien Wilson54
2321,179,4,3,0.0,0,0,0,0,0,16,13.0,0.8,3.7%,2015,Damien Wilson54
2322,123,23,7,0.5,1,0,0,0,0,16,52.9,3.3,3.7%,2016,Damien Wilson54
2323,131,17,12,1.0,1,0,0,0,0,16,45.7,2.9,3.7%,2017,Damien Wilson54
2324,109,25,7,1.0,0,0,1,0,0,16,57.5,3.6,3.7%,2018,Damien Wilson54
2325,66,52,29,1.5,1,0,1,0,0,16,119.3,7.5,3.7%,2019,Damien Wilson54
2326,624,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2013,Jake Ryan47
2327,660,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2014,Jake Ryan47
2328,103,31,15,0.0,0,0,0,1,0,14,72.4,5.2,2.2%,2015,Jake Ryan47
2329,59,56,25,0.0,3,0,0,0,0,14,131.8,9.4,2.2%,2016,Jake Ryan47
2330,60,50,29,1.0,0,0,1,1,0,15,127.9,8.5,2.2%,2017,Jake Ryan47
2331,542,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2018,Jake Ryan47
2332,527,0,0,0.0,0,0,0,0,0,2,0.0,0.0,2.2%,2019,Jake Ryan47
2333,625,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Edmond Robinson46
2334,665,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Edmond Robinson46
2335,191,4,2,0.0,1,0,0,0,0,9,9.8,1.1,0.0%,2015,Edmond Robinson46
2336,616,0,0,0.0,0,0,0,0,0,12,0.0,0.0,0.0%,2016,Edmond Robinson46
2337,594,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,Edmond Robinson46
2338,541,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Edmond Robinson46
2339,526,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Edmond Robinson46
2340,628,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Jordan Williams40
2341,628,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Jordan Williams
2342,663,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Jordan Williams40
2343,663,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Jordan Williams
2344,622,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2015,Jordan Williams40
2345,622,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2015,Jordan Williams
2346,619,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Jordan Williams40
2347,619,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Jordan Williams
2348,605,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,Jordan Williams40
2349,605,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,Jordan Williams
2350,546,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Jordan Williams40
2351,546,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Jordan Williams
2352,524,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Jordan Williams40
2353,524,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Jordan Williams
2354,629,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%,2013,David Mayo55
2355,666,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%,2014,David Mayo55
2356,221,0,0,0.0,0,0,0,0,0,12,1.5,0.1,3.0%,2015,David Mayo55
2357,185,7,1,0.0,0,0,0,0,0,15,13.8,0.9,3.0%,2016,David Mayo55
2358,170,7,6,0.0,1,0,0,0,0,16,21.8,1.4,3.0%,2017,David Mayo55
2359,175,6,5,0.0,1,0,0,0,0,16,14.3,0.9,3.0%,2018,David Mayo55
2360,61,50,30,2.0,2,0,0,1,0,16,125.3,7.8,3.0%,2019,David Mayo55
2361,630,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Nate Orchard54
2362,719,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Nate Orchard54
2363,627,24,12,3.0,4,1,1,0,0,15,0.0,0.0,0.0%,2015,Nate Orchard54
2364,207,2,2,0.0,0,0,0,0,0,3,5.3,1.8,0.0%,2016,Nate Orchard54
2365,110,14,11,2.0,0,0,1,0,0,16,64.6,4.0,0.0%,2017,Nate Orchard54
2366,195,3,1,0.0,1,0,0,0,0,4,7.5,1.9,0.0%,2018,Nate Orchard54
2367,145,8,6,1.0,1,0,0,1,0,5,31.2,6.2,0.0%,2019,Nate Orchard54
2368,631,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.9%,2013,Adrian Phillips31
2369,731,0,1,0.0,0,0,0,0,0,3,0.0,0.0,2.9%,2014,Adrian Phillips31
2370,629,9,7,0.0,1,1,0,0,0,9,0.0,0.0,2.9%,2015,Adrian Phillips31
2371,627,24,11,0.0,3,1,0,0,0,14,0.0,0.0,2.9%,2016,Adrian Phillips31
2372,597,47,12,0.0,5,2,1,0,0,15,0.0,0.0,2.9%,2017,Adrian Phillips31
2373,529,54,23,0.0,10,1,1,0,0,16,0.0,0.0,2.9%,2018,Adrian Phillips31
2374,512,22,10,0.0,0,0,0,0,0,7,0.0,0.0,2.9%,2019,Adrian Phillips31
2375,632,0,0,0.0,0,0,0,0,0,0,0.0,0.0,37.0%,2013,Bud Dupree48
2376,725,0,0,0.0,0,0,0,0,0,0,0.0,0.0,37.0%,2014,Bud Dupree48
2377,116,17,9,4.0,1,0,0,0,0,16,62.3,3.9,37.0%,2015,Bud Dupree48
2378,114,19,5,4.5,1,0,1,0,0,7,65.6,9.4,37.0%,2016,Bud Dupree48
2379,75,31,9,6.0,1,0,0,1,0,15,105.1,7.0,37.0%,2017,Bud Dupree48
2380,61,30,13,5.5,3,1,1,0,1,16,116.6,7.3,37.0%,2018,Bud Dupree48
2381,19,49,19,11.5,3,0,4,2,0,16,202.5,12.7,37.0%,2019,Bud Dupree48
