,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm,TeamID
176,2010.0,25.6,155.9,198.8,354.6,23.2,133.6,189.2,322.8,OAK
177,2009.0,12.3,106.3,159.8,266.1,23.7,155.5,206.4,361.9,OAK
178,2008.0,16.4,124.2,148.1,272.2,24.2,159.7,201.2,360.9,OAK
179,2007.0,17.7,130.4,164.4,294.8,24.9,145.9,195.8,341.6,OAK
180,2006.0,10.5,94.9,151.2,246.2,20.8,134.0,150.8,284.8,OAK
181,2005.0,18.1,85.6,223.9,309.4,23.9,128.1,202.7,330.8,OAK
182,2004.0,20.0,80.9,241.1,322.1,27.6,125.8,245.2,371.0,OAK
183,2003.0,16.9,113.9,171.9,285.8,23.7,156.9,212.1,369.0,OAK
184,2002.0,28.1,110.1,279.7,389.8,19.0,90.8,220.4,311.2,OAK
185,2001.0,24.9,103.4,231.7,335.1,20.4,124.2,192.7,316.9,OAK
186,2000.0,29.9,154.4,206.6,361.0,18.7,96.9,231.1,328.1,OAK
187,2019.0,25.1,138.9,223.9,362.8,20.7,104.5,255.0,359.5,TEN
188,2018.0,19.4,126.4,185.9,312.4,18.9,116.4,216.9,333.4,TEN
189,2017.0,20.9,114.6,199.4,314.0,22.2,88.8,239.2,328.0,TEN
190,2016.0,23.8,136.7,221.3,358.0,23.6,88.3,269.2,357.5,TEN
191,2015.0,18.7,92.8,218.9,311.8,26.4,112.3,229.9,342.2,TEN
192,2014.0,15.9,90.4,213.2,303.7,27.4,137.2,235.8,373.0,TEN
193,2013.0,22.6,118.4,218.5,336.9,23.8,112.2,225.8,337.9,TEN
194,2012.0,20.6,105.4,207.7,313.1,29.4,127.2,247.8,374.9,TEN
195,2011.0,20.3,89.9,245.2,335.1,19.8,128.3,226.8,355.1,TEN
196,2010.0,22.2,107.9,194.2,302.1,21.2,115.7,252.0,367.7,TEN
197,2009.0,22.1,162.0,189.4,351.4,25.1,106.9,258.7,365.6,TEN
198,2008.0,23.4,137.4,176.2,313.6,14.6,93.9,199.8,293.6,TEN
199,2007.0,18.8,131.8,179.9,311.7,18.6,92.4,199.2,291.6,TEN
200,2006.0,20.2,138.4,162.2,300.6,25.0,144.6,225.1,369.7,TEN
201,2005.0,18.7,95.3,224.8,320.1,26.3,118.4,201.0,319.4,TEN
202,2004.0,21.5,116.9,226.0,342.9,27.4,119.8,237.9,357.8,TEN
203,2003.0,27.2,101.4,242.4,343.8,20.2,80.9,225.4,306.3,TEN
204,2002.0,22.9,122.0,207.5,329.5,20.2,89.0,221.2,310.2,TEN
205,2001.0,21.0,112.1,222.4,334.5,24.2,89.4,255.2,344.7,TEN
206,2000.0,21.6,130.2,204.1,334.4,11.9,86.9,151.4,238.3,TEN
207,2019.0,23.6,125.6,236.4,362.0,24.1,121.1,267.2,388.3,HOU
208,2018.0,25.1,126.3,236.3,362.6,19.8,82.7,260.4,343.1,HOU
209,2017.0,21.1,115.1,204.9,320.0,27.2,109.2,237.4,346.6,HOU
210,2016.0,17.4,116.2,198.5,314.7,20.5,99.7,201.6,301.3,HOU
211,2015.0,21.2,108.2,239.6,347.8,19.6,99.8,210.4,310.2,HOU
212,2014.0,23.2,135.1,209.5,344.6,19.2,105.1,243.1,348.2,HOU
213,2013.0,17.2,108.9,238.3,347.2,26.8,122.4,195.2,317.6,HOU
214,2012.0,26.0,132.7,239.4,372.1,20.7,97.5,225.8,323.2,HOU
215,2011.0,23.8,153.0,219.1,372.1,17.4,96.0,189.7,285.7,HOU
216,2010.0,24.4,127.6,259.0,386.6,26.7,109.4,267.5,376.9,HOU
217,2009.0,24.2,92.2,290.9,383.1,20.8,106.9,217.9,324.9,HOU
218,2008.0,22.9,115.4,266.7,382.1,24.6,122.6,213.9,336.6,HOU
219,2007.0,23.7,99.1,234.4,333.6,24.0,114.1,230.1,344.2,HOU
220,2006.0,16.7,105.4,173.6,279.1,22.9,122.2,215.2,337.5,HOU
221,2005.0,16.2,113.5,139.8,253.3,26.9,143.9,220.1,364.0,HOU
222,2004.0,19.3,117.6,202.9,320.5,21.2,115.2,225.9,341.1,HOU
223,2003.0,15.9,103.2,165.9,269.1,23.8,148.1,232.0,380.1,HOU
224,2002.0,13.3,84.2,139.1,223.2,22.2,130.6,196.3,326.9,HOU
225,2019.0,24.1,121.2,239.6,360.8,22.1,90.1,241.6,331.7,PHI
226,2018.0,22.9,98.1,267.2,365.3,21.8,96.9,269.2,366.2,PHI
227,2017.0,28.6,132.2,233.6,365.8,18.4,79.2,227.3,306.5,PHI
228,2016.0,22.9,113.3,224.1,337.4,20.7,103.2,239.5,342.8,PHI
229,2015.0,23.6,108.9,255.4,364.4,26.9,134.6,267.1,401.6,PHI
230,2014.0,29.6,124.5,272.2,396.8,25.0,110.7,264.9,375.6,PHI
231,2013.0,27.6,160.4,256.9,417.2,23.9,104.2,289.8,394.0,PHI
232,2012.0,17.5,117.1,236.9,354.1,27.8,126.3,216.9,343.2,PHI
233,2011.0,24.8,142.2,256.9,399.1,20.5,112.6,212.3,324.9,PHI
234,2010.0,27.4,145.2,244.1,389.4,23.6,110.4,216.8,327.2,PHI
235,2009.0,26.8,102.3,255.6,357.9,21.1,104.7,216.4,321.1,PHI
236,2008.0,26.0,106.1,244.4,350.5,18.1,92.2,182.1,274.3,PHI
237,2007.0,21.0,123.4,234.7,358.1,18.8,95.8,215.6,311.4,PHI
238,2006.0,24.9,124.0,257.4,381.4,20.5,136.4,191.7,328.1,PHI
239,2005.0,19.4,89.5,229.8,319.3,24.2,117.7,207.7,325.4,PHI
240,2004.0,24.1,102.4,248.7,351.1,16.2,118.9,200.8,319.7,PHI
241,2003.0,23.4,125.9,188.8,314.7,17.9,129.4,202.2,331.7,PHI
242,2002.0,25.9,138.8,211.5,350.2,15.1,103.8,193.4,297.1,PHI
243,2001.0,21.4,111.1,196.6,307.7,13.0,114.8,179.0,293.8,PHI
244,2000.0,21.9,117.6,195.2,312.9,15.3,114.4,186.9,301.2,PHI
245,2019.0,26.2,106.4,247.6,354.0,14.1,95.5,180.4,275.9,NE
246,2018.0,27.2,127.3,266.1,393.4,20.3,112.7,246.4,359.1,NE
247,2017.0,28.6,118.1,276.1,394.2,18.5,114.8,251.2,366.0,NE
248,2016.0,27.6,117.0,269.2,386.2,15.6,88.6,237.9,326.4,NE
249,2015.0,29.1,87.8,286.7,374.4,19.7,98.8,240.7,339.4,NE
250,2014.0,29.2,107.9,257.6,365.5,19.6,104.3,239.8,344.1,NE
