,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
206,590,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Luq Barcoo3
207,161,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Reggie Robinson II41
208,332,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Reggie Robinson II41
209,368,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Reggie Robinson II41
210,354,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Reggie Robinson II41
211,364,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Reggie Robinson II41
212,508,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Reggie Robinson II41
213,591,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Reggie Robinson II41
214,162,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Darnay Holmes1
215,334,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Darnay Holmes1
216,369,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Darnay Holmes1
217,348,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Darnay Holmes1
218,357,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Darnay Holmes1
219,522,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Darnay Holmes1
220,592,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Darnay Holmes1
221,163,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2013,Michael Ojemudia11
222,335,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2014,Michael Ojemudia11
223,370,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2015,Michael Ojemudia11
224,569,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2016,Michael Ojemudia11
225,355,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2017,Michael Ojemudia11
226,550,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2018,Michael Ojemudia11
227,593,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2019,Michael Ojemudia11
228,164,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Lavert Hill
229,338,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Lavert Hill
230,371,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Lavert Hill
231,561,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Lavert Hill
232,356,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Lavert Hill
233,594,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Lavert Hill
234,594,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Lavert Hill
235,165,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Mazzi Wilkins37
236,677,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Mazzi Wilkins37
237,728,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Mazzi Wilkins37
238,684,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Mazzi Wilkins37
239,639,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Mazzi Wilkins37
240,604,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Mazzi Wilkins37
241,326,3,0,0.0,0,0,0,0,0,5,4.5,0.9,0.0%,2019,Mazzi Wilkins37
242,166,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2013,Damon Arnette3
243,341,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2014,Damon Arnette3
244,372,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2015,Damon Arnette3
245,675,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2016,Damon Arnette3
246,541,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2017,Damon Arnette3
247,595,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2018,Damon Arnette3
248,595,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2019,Damon Arnette3
249,167,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2013,Jaylon Johnson1
250,339,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2014,Jaylon Johnson1
251,373,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2015,Jaylon Johnson1
252,676,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2016,Jaylon Johnson1
253,575,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2017,Jaylon Johnson1
