,GP,TD_RUSH,TD_REC,TD_RET,TD,SCORING_FG,SCORING_PAT,SCORING_2PT,SCORING_PTS,SCORING_TP/G,PlayerID
129,4,0,0,0,0,5,11,0,26,6.5,Chase McLaughlin5
130,4,0,0,0,0,6,7,0,25,6.3,Chase McLaughlin5
131,3,0,0,0,0,7,8,0,29,9.7,Chase McLaughlin5
132,15,4,0,0,4,0,0,0,24,1.6,Jacoby Brissett7
133,16,2,0,2,4,0,0,0,24,1.5,Nyheim Hines21
134,16,0,4,0,4,0,0,0,24,1.5,Jack Doyle84
135,11,0,3,0,3,0,0,0,18,1.6,Eric Ebron85
136,14,2,0,0,2,0,0,0,12,0.9,Jordan Wilkins20
137,8,0,2,0,2,0,0,0,12,1.5,Marcus Johnson83
138,7,0,1,0,1,0,0,0,6,0.9,Parris Campbell15
139,13,0,0,1,1,0,0,0,6,0.5,Darius Leonard53
140,16,0,0,0,0,0,0,0,2,0.1,Justin Houston50
141,16,0,0,0,0,0,0,0,2,0.1,Bobby Okereke58
142,16,0,0,0,0,33,19,0,118,7.4,Josh Lambo4
143,15,0,8,0,8,0,0,1,50,3.3,DJ Chark Jr.17
144,16,0,5,0,5,0,0,1,32,2.0,Chris Conley18
145,15,0,3,0,3,0,0,2,22,1.5,Dede Westbrook12
146,15,3,0,0,3,0,0,0,18,1.2,Leonard Fournette27
147,16,0,3,0,3,0,0,0,18,1.1,Keelan Cole84
148,5,0,2,0,2,0,0,0,12,2.4,James O'Shaughnessy80
149,16,0,2,0,2,0,0,0,12,0.8,Ryquell Armstead23
150,5,0,1,0,1,0,0,0,6,1.2,Nick O'Leary86
151,16,0,0,1,1,0,0,0,6,0.4,Calais Campbell93
152,15,0,0,1,1,0,0,0,6,0.4,Yannick Ngakoue91
153,15,16,2,0,18,0,0,0,108,7.2,Derrick Henry22
154,16,1,8,0,9,0,0,0,54,3.4,A.J. Brown11
155,12,4,0,0,4,0,0,1,26,2.2,Ryan Tannehill17
156,15,0,4,0,4,0,0,0,24,1.6,Tajae Sharpe19
157,16,0,3,0,3,0,0,0,18,1.1,Jonnu Smith81
158,12,0,2,0,2,0,0,0,12,1.0,Adam Humphries10
159,15,0,2,0,2,0,0,0,12,0.8,Corey Davis84
160,2,0,0,0,0,0,9,0,9,4.5,Greg Joseph7
161,9,0,0,1,1,0,0,0,6,0.7,Malcolm Butler21
162,14,0,0,1,1,0,0,0,6,0.4,Jayon Brown55
163,16,0,1,0,1,0,0,0,6,0.4,MyCole Pruitt85
164,4,0,1,0,1,0,0,0,6,1.5,David Quessenberry72
165,15,0,1,0,1,0,0,0,6,0.4,Anthony Firkser86
166,15,0,1,0,1,0,0,0,6,0.4,Dennis Kelly71
167,16,0,0,1,1,0,0,0,6,0.4,Rashaan Evans54
168,9,0,0,1,1,0,0,0,6,0.7,Tye Smith23
169,8,0,1,0,1,0,0,0,6,0.8,Kalif Raymond14
170,16,0,1,0,1,0,0,0,6,0.4,Dion Lewis33
171,16,0,0,0,0,29,25,0,112,7.0,Brandon McManus8
172,16,7,0,0,7,0,0,0,42,2.6,Phillip Lindsay30
173,16,0,6,0,6,0,0,0,36,2.3,Courtland Sutton14
174,16,3,1,0,4,0,0,0,24,1.5,Royce Freeman28
175,16,0,3,0,3,0,0,0,18,1.1,Noah Fant87
176,7,0,2,0,2,0,0,1,14,2.0,Emmanuel Sanders17
177,10,0,3,0,3,0,0,0,18,1.8,Emmanuel Sanders17
178,14,0,1,0,1,0,0,0,6,0.4,Jeff Heuerman82
179,11,0,1,0,1,0,0,0,6,0.5,Troy Fumagalli84
180,7,1,0,0,1,0,0,0,6,0.9,Andy Janovich32
181,13,0,0,1,1,0,0,0,6,0.5,Kareem Jackson22
182,16,0,1,0,1,0,0,0,6,0.4,Andrew Beck83
183,16,0,1,0,1,0,0,0,6,0.4,DaeSean Hamilton17
184,16,0,0,0,0,34,45,0,147,9.2,Harrison Butker7
185,16,0,6,1,7,0,0,0,42,2.6,Mecole Hardman17
186,11,5,2,0,7,0,0,0,42,3.8,Damien Williams26
187,12,0,7,0,7,0,0,0,42,3.5,Tyreek Hill10
188,16,1,5,0,6,0,0,0,36,2.3,Travis Kelce87
189,16,0,4,0,4,0,0,0,24,1.5,Demarcus Robinson11
190,12,3,1,0,4,0,0,0,24,2.0,Darrel Williams31
191,14,0,3,0,3,0,0,1,20,1.4,Sammy Watkins14
192,14,2,0,0,2,0,0,0,12,0.9,Patrick Mahomes15
193,14,0,0,1,1,0,0,0,6,0.4,Reggie Ragland59
194,12,1,0,0,1,0,0,0,6,0.5,Darwin Thompson34
195,16,0,0,1,1,0,0,0,6,0.4,Juan Thornhill22
196,16,0,0,1,1,0,0,0,6,0.4,Bashaud Breeland21
197,16,0,1,0,1,0,0,0,6,0.4,Byron Pringle13
198,16,0,0,0,0,0,0,0,2,0.1,Charvarius Ward35
199,16,0,0,0,0,19,34,0,91,5.7,Daniel Carlson8
200,13,7,0,0,7,0,0,0,42,3.2,Josh Jacobs28
201,14,0,6,0,6,0,0,0,36,2.6,Tyrell Williams16
202,13,0,5,0,5,0,0,0,30,2.3,Foster Moreau87
203,13,0,4,0,4,0,0,0,24,1.8,Hunter Renfrow13
204,16,0,3,0,3,0,0,0,18,1.1,Darren Waller83
205,16,3,0,0,3,0,0,0,18,1.1,DeAndre Washington24
206,16,0,0,2,2,0,0,0,12,0.8,Erik Harris25
207,16,2,0,0,2,0,0,0,12,0.8,Derek Carr4
208,16,0,1,0,1,0,0,0,6,0.4,Derek Carrier85
209,9,1,0,0,1,0,0,0,6,0.7,Trevor Davis
210,16,0,1,0,1,0,0,0,6,0.4,Alec Ingold45
211,4,0,1,0,1,0,0,0,6,1.5,Rico Gafford10
212,16,3,8,0,11,0,0,0,66,4.1,Austin Ekeler30
213,8,0,0,0,0,13,19,0,58,7.3,Michael Badgley4
214,12,8,1,0,9,0,0,0,54,4.5,Melvin Gordon25
215,16,0,6,0,6,0,0,0,36,2.3,Keenan Allen13
216,12,0,5,0,5,0,0,1,32,2.7,Hunter Henry86
217,16,0,0,0,0,7,9,0,30,1.9,Ty Long1
218,15,0,2,0,2,0,0,0,12,0.8,Mike Williams81
219,15,0,1,0,1,0,0,0,6,0.4,Virgil Green88
220,15,0,0,1,1,0,0,0,6,0.4,Desmond King II20
221,16,1,0,0,1,0,0,0,6,0.4,Derek Watt34
222,13,0,0,0,0,20,36,0,96,7.4,Brett Maher2
223,16,12,2,0,14,0,0,0,84,5.3,Ezekiel Elliott21
224,16,0,8,0,8,0,0,0,48,3.0,Amari Cooper19
225,14,0,6,0,6,0,0,0,36,2.6,Michael Gallup13
226,16,0,4,0,4,0,0,1,26,1.6,Jason Witten82
227,15,2,1,0,3,0,0,1,20,1.3,Tony Pollard20
228,16,3,0,0,3,0,0,0,18,1.1,Dak Prescott4
229,16,0,3,0,3,0,0,0,18,1.1,Blake Jarwin89
230,15,0,3,0,3,0,0,0,18,1.2,Randall Cobb18
231,4,0,1,0,1,0,0,0,6,1.5,Devin Smith15
232,12,0,1,0,1,0,0,0,6,0.5,Ventell Bryant83
233,16,0,0,1,1,0,0,0,6,0.4,Jourdan Lewis26
234,16,0,0,0,0,12,35,0,71,4.4,Aldrick Rosas2
235,13,6,2,0,8,0,0,0,48,3.7,Saquon Barkley26
236,14,0,8,0,8,0,0,0,48,3.4,Darius Slayton86
237,11,0,6,0,6,0,0,0,36,3.3,Golden Tate15
238,10,0,3,0,3,0,0,1,20,2.0,Sterling Shepard87
239,9,0,3,0,3,0,0,0,18,2.0,Kaden Smith82
240,10,2,1,0,3,0,0,0,18,1.8,Wayne Gallman22
241,8,0,3,0,3,0,0,0,18,2.3,Evan Engram88
242,15,0,2,0,2,0,0,0,12,0.8,Cody Latimer12
243,13,2,0,0,2,0,0,0,12,0.9,Daniel Jones8
244,11,0,0,1,1,0,0,0,6,0.5,Jabrill Peppers21
245,16,0,0,1,1,0,0,0,6,0.4,Elijhaa Penny39
246,6,0,0,0,0,0,0,0,2,0.3,Sam Beal23
247,16,0,0,0,0,22,35,0,101,6.3,Jake Elliott4
248,10,6,1,0,7,0,0,0,42,4.2,Jordan Howard24
249,16,3,3,0,6,0,0,1,38,2.4,Miles Sanders26
250,15,0,6,0,6,0,0,1,38,2.5,Zach Ertz86
251,11,5,0,0,5,0,0,0,30,2.7,Boston Scott35
252,10,1,4,0,5,0,0,0,30,3.0,Alshon Jeffery17
253,15,0,5,0,5,0,0,0,30,2.0,Dallas Goedert88
254,11,0,3,0,3,0,0,1,20,1.8,Nelson Agholor13
255,3,0,2,0,2,0,0,0,12,4.0,DeSean Jackson10
256,7,0,1,0,1,0,0,0,6,0.9,Greg Ward Jr.84
257,16,1,0,0,1,0,0,0,6,0.4,Carson Wentz11
258,16,0,1,0,1,0,0,0,6,0.4,J.J. Arcega-Whiteside19
259,5,0,1,0,1,0,0,0,6,1.2,Josh Perkins81
260,16,0,0,1,1,0,0,0,6,0.4,Nathan Gerry47
261,16,0,0,0,0,25,21,0,96,6.0,Dustin Hopkins3
