,Name,"('Unnamed: 0_level_0', 'GP')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')","('Punts', 'FC')",class,team
0,Jamal Agnew CB,13,17,454,26.7,100,1,19,175,9.2,64,1,13,Returning,Lions
1,Jamal Agnew CB,16,3,58,19.3,25,0,0,0,0.0,0,0,0,Returning,Lions
2,Jamal Agnew CB,7,1,23,23.0,23,0,0,0,0.0,0,0,0,Returning,Lions
3,Jamal Agnew CB,16,1,17,17.0,17,0,0,0,0.0,0,0,0,Returning,Lions
4,Jamal Agnew CB,9,1,12,12.0,12,0,2,16,8.0,14,0,1,Returning,Lions
0,Tremon Smith CB,7,13,303,23.3,36,0,4,0,0.0,3,0,3,Returning,Packers
1,Tremon Smith CB,4,6,160,26.7,45,0,11,106,9.6,18,0,10,Returning,Packers
2,Tremon Smith CB,6,9,147,16.3,21,0,2,-9,-4.5,0,0,11,Returning,Packers
3,Tremon Smith CB,16,3,48,16.0,19,0,0,0,0.0,0,0,0,Returning,Packers
4,Tremon Smith CB,14,1,9,9.0,9,0,0,0,0.0,0,0,0,Returning,Packers
0,Ameer Abdullah RB,16,13,325,25.0,38,0,0,0,0.0,0,0,0,Returning,Vikings
1,Ameer Abdullah RB,16,2,33,16.5,17,0,0,0,0.0,0,0,0,Returning,Vikings
2,Ameer Abdullah RB,3,1,13,13.0,13,0,7,46,6.6,15,0,6,Returning,Vikings
3,Ameer Abdullah RB,3,1,9,9.0,9,0,6,33,5.5,15,0,2,Returning,Vikings
4,Ameer Abdullah RB,14,0,0,0.0,0,0,14,104,7.4,23,0,9,Returning,Vikings
0,Kenjon Barner RB,14,17,406,23.9,47,0,35,267,7.6,78,1,1,Returning,Falcons
1,Kenjon Barner RB,16,6,106,17.7,29,0,0,0,0.0,0,0,0,Returning,Falcons
2,Kenjon Barner RB,7,2,59,29.5,33,0,0,0,0.0,0,0,0,Returning,Falcons
3,Kenjon Barner RB,7,0,0,0.0,0,0,1,2,2.0,2,0,0,Returning,Falcons
0,DeAndrew White WR,10,10,226,22.6,36,0,0,0,0.0,0,0,0,Returning,Panthers
