,Name,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team
382,Michael Thomas WR,16,0,9,0,9,0,0,0,54,3.4,Scoring,Saints
383,Jared Cook TE,14,0,9,0,9,0,0,0,54,3.9,Scoring,Saints
384,Taysom Hill QB,16,1,6,0,7,0,0,0,42,2.6,Scoring,Saints
385,Alvin Kamara RB,14,5,1,0,6,0,0,0,36,2.6,Scoring,Saints
386,Latavius Murray RB,16,5,1,0,6,0,0,0,36,2.3,Scoring,Saints
387,Tre'Quan Smith WR,11,0,5,0,5,0,0,0,30,2.7,Scoring,Saints
388,Josh Hill TE,16,0,3,0,3,0,0,0,18,1.1,Scoring,Saints
389,Ted Ginn Jr. WR,16,0,2,0,2,0,0,0,12,0.8,Scoring,Saints
390,Drew Brees QB,11,1,0,0,1,0,0,0,6,0.5,Scoring,Saints
391,Vonn Bell S,13,0,0,1,1,0,0,0,6,0.5,Scoring,Saints
392,A.J. Klein LB,15,0,0,1,1,0,0,0,6,0.4,Scoring,Saints
393,Marcus Williams S,15,0,0,1,1,0,0,0,6,0.4,Scoring,Saints
394,Deonte Harris WR,14,0,0,1,1,0,0,0,6,0.4,Scoring,Saints
395,Matt Gay PK,16,0,0,0,0,27,43,0,124,7.8,Scoring,Buccaneers
396,Chris Godwin WR,14,0,9,0,9,0,0,1,56,4.0,Scoring,Buccaneers
397,Mike Evans WR,13,0,8,0,8,0,0,1,50,3.8,Scoring,Buccaneers
398,Peyton Barber RB,16,6,1,0,7,0,0,1,44,2.8,Scoring,Buccaneers
399,Breshad Perriman WR,14,0,6,0,6,0,0,0,36,2.6,Scoring,Buccaneers
400,Ronald Jones II RB,16,6,0,0,6,0,0,0,36,2.3,Scoring,Buccaneers
401,Cameron Brate TE,16,0,4,0,4,0,0,0,24,1.5,Scoring,Buccaneers
402,Justin Watson WR,16,0,2,0,2,0,0,0,12,0.8,Scoring,Buccaneers
403,Ndamukong Suh DT,16,0,0,2,2,0,0,0,12,0.8,Scoring,Buccaneers
404,Devin White LB,13,0,0,2,2,0,0,0,12,0.9,Scoring,Buccaneers
405,Dare Ogunbowale RB,16,2,0,0,2,0,0,0,12,0.8,Scoring,Buccaneers
406,Jameis Winston QB,16,1,0,0,1,0,0,2,10,0.6,Scoring,Buccaneers
407,O.J. Howard TE,14,0,1,0,1,0,0,0,6,0.4,Scoring,Buccaneers
408,Scotty Miller WR,10,0,1,0,1,0,0,0,6,0.6,Scoring,Buccaneers
409,Vita Vea DT,16,0,1,0,1,0,0,0,6,0.4,Scoring,Buccaneers
410,Vernon Hargreaves III CB,9,0,0,1,1,0,0,0,6,0.7,Scoring,Buccaneers
411,Sean Murphy-Bunting CB,16,0,0,1,1,0,0,0,6,0.4,Scoring,Buccaneers
412,Zane Gonzalez PK,16,0,0,0,0,31,34,0,127,7.9,Scoring,Cardinals
413,Kenyan Drake RB,8,8,0,0,8,0,0,1,50,6.3,Scoring,Cardinals
414,David Johnson RB,13,2,4,0,6,0,0,0,36,2.8,Scoring,Cardinals
415,Chase Edmonds RB,13,4,1,0,5,0,0,0,30,2.3,Scoring,Cardinals
416,Larry Fitzgerald WR,16,0,4,0,4,0,0,0,24,1.5,Scoring,Cardinals
417,Kyler Murray QB,16,4,0,0,4,0,0,0,24,1.5,Scoring,Cardinals
418,Christian Kirk WR,13,0,3,0,3,0,0,1,20,1.5,Scoring,Cardinals
419,Dan Arnold TE,3,0,2,0,2,0,0,0,12,4.0,Scoring,Cardinals
420,KeeSean Johnson WR,10,0,1,0,1,0,0,1,8,0.8,Scoring,Cardinals
421,Damiere Byrd WR,11,0,1,0,1,0,0,0,6,0.5,Scoring,Cardinals
422,Charles Clay TE,15,0,1,0,1,0,0,0,6,0.4,Scoring,Cardinals
423,Maxx Williams TE,16,0,1,0,1,0,0,0,6,0.4,Scoring,Cardinals
424,Andy Isabella WR,15,0,1,0,1,0,0,0,6,0.4,Scoring,Cardinals
425,Pharoh Cooper WR,12,0,1,0,1,0,0,0,6,0.5,Scoring,Cardinals
426,Greg Zuerlein PK,16,0,0,0,0,24,42,0,114,7.1,Scoring,Rams
427,Todd Gurley II RB,15,12,2,0,14,0,0,1,86,5.7,Scoring,Rams
428,Cooper Kupp WR,16,0,10,0,10,0,0,0,60,3.8,Scoring,Rams
429,Malcolm Brown RB,14,5,0,0,5,0,0,0,30,2.1,Scoring,Rams
430,Robert Woods WR,15,1,2,0,3,0,0,0,18,1.2,Scoring,Rams
431,Tyler Higbee TE,15,0,3,0,3,0,0,0,18,1.2,Scoring,Rams
432,Gerald Everett TE,13,0,2,0,2,0,0,0,12,0.9,Scoring,Rams
433,Jared Goff QB,16,2,0,0,2,0,0,0,12,0.8,Scoring,Rams
434,Brandin Cooks WR,14,0,2,0,2,0,0,0,12,0.9,Scoring,Rams
435,Josh Reynolds WR,16,0,1,0,1,0,0,0,6,0.4,Scoring,Rams
436,Darious Williams CB,12,0,0,1,1,0,0,0,6,0.5,Scoring,Rams
437,Dante Fowler Jr. DE,16,0,0,1,1,0,0,0,6,0.4,Scoring,Rams
438,Taylor Rapp S,15,0,0,1,1,0,0,0,6,0.4,Scoring,Rams
439,Marcus Peters CB,6,0,0,1,1,0,0,0,6,1.0,Scoring,Rams
440,Aaron Donald DT,16,0,0,0,0,0,0,0,2,0.1,Scoring,Rams
441,Robbie Gould PK,13,0,0,0,0,23,41,0,110,8.5,Scoring,49ers
442,Raheem Mostert RB,16,8,2,0,10,0,0,0,60,3.8,Scoring,49ers
443,Tevin Coleman RB,14,6,1,0,7,0,0,0,42,3.0,Scoring,49ers
444,Deebo Samuel WR,15,3,3,0,6,0,0,1,38,2.5,Scoring,49ers
445,Kendrick Bourne WR,16,0,5,0,5,0,0,1,32,2.0,Scoring,49ers
446,Jeff Wilson Jr. RB,10,4,1,0,5,0,0,0,30,3.0,Scoring,49ers
447,George Kittle TE,14,0,5,0,5,0,0,0,30,2.1,Scoring,49ers
448,Chase McLaughlin PK,3,0,0,0,0,7,8,0,29,9.7,Scoring,49ers
449,Emmanuel Sanders WR,10,0,3,0,3,0,0,0,18,1.8,Scoring,49ers
450,Ross Dwelley TE,16,0,2,0,2,0,0,0,12,0.8,Scoring,49ers
451,Matt Breida RB,13,1,1,0,2,0,0,0,12,0.9,Scoring,49ers
452,Dante Pettis WR,11,0,2,0,2,0,0,0,12,1.1,Scoring,49ers
453,Kyle Juszczyk FB,12,0,1,0,1,0,0,0,6,0.5,Scoring,49ers
454,Richard Sherman CB,15,0,0,1,1,0,0,0,6,0.4,Scoring,49ers
455,D.J. Reed Jr. CB,16,0,0,1,1,0,0,0,6,0.4,Scoring,49ers
456,Fred Warner LB,16,0,0,1,1,0,0,0,6,0.4,Scoring,49ers
457,DeForest Buckner DT,16,0,0,1,1,0,0,0,6,0.4,Scoring,49ers
458,Marquise Goodwin WR,9,0,1,0,1,0,0,0,6,0.7,Scoring,49ers
459,Ahkello Witherspoon CB,10,0,0,1,1,0,0,0,6,0.6,Scoring,49ers
460,Jimmy Garoppolo QB,16,1,0,0,1,0,0,0,6,0.4,Scoring,49ers
461,Richie James Jr. WR,16,0,1,0,1,0,0,0,6,0.4,Scoring,49ers
462,Jason Myers PK,16,0,0,0,0,23,40,0,109,6.8,Scoring,Seahawks
463,Chris Carson RB,15,7,2,0,9,0,0,0,54,3.6,Scoring,Seahawks
464,Tyler Lockett WR,16,0,8,0,8,0,0,0,48,3.0,Scoring,Seahawks
465,DK Metcalf WR,16,0,7,0,7,0,0,1,44,2.8,Scoring,Seahawks
466,Will Dissly TE,6,0,4,0,4,0,0,0,24,4.0,Scoring,Seahawks
467,Rashaad Penny RB,10,3,1,0,4,0,0,0,24,2.4,Scoring,Seahawks
468,Russell Wilson QB,16,3,0,0,3,0,0,0,18,1.1,Scoring,Seahawks
469,Jacob Hollister TE,11,0,3,0,3,0,0,0,18,1.6,Scoring,Seahawks
470,Jaron Brown WR,14,0,2,0,2,0,0,0,12,0.9,Scoring,Seahawks
471,Jadeveon Clowney DE,13,0,0,2,2,0,0,0,12,0.9,Scoring,Seahawks
472,David Moore WR,14,0,2,0,2,0,0,0,12,0.9,Scoring,Seahawks
473,Nick Bellore FB,14,0,1,0,1,0,0,0,6,0.4,Scoring,Seahawks
474,C.J. Prosise RB,9,1,0,0,1,0,0,0,6,0.7,Scoring,Seahawks
475,Quandre Diggs S,5,0,0,1,1,0,0,0,6,1.2,Scoring,Seahawks
476,Malik Turner WR,15,0,1,0,1,0,0,0,6,0.4,Scoring,Seahawks
477,Marshawn Lynch RB,1,1,0,0,1,0,0,0,6,6.0,Scoring,Seahawks
