,Name,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,class,team
49,Gunner Olszewski WR,8,2,4,34,17.0,0,29,1,4.3,0,0,17,1,Receiving,Patriots
50,Jakob Johnson FB,4,1,2,5,5.0,0,5,0,1.3,0,0,1,0,Receiving,Patriots
51,Eric Tomlinson TE,2,1,1,1,1.0,0,1,0,0.5,0,0,1,0,Receiving,Patriots
52,Jamison Crowder WR,16,78,122,833,10.7,6,41,11,52.1,0,0,357,41,Receiving,Jets
53,Robby Anderson WR,16,52,96,779,15.0,5,92,13,48.7,1,0,171,35,Receiving,Jets
54,Le'Veon Bell RB,15,66,78,461,7.0,1,23,2,30.7,1,1,454,20,Receiving,Jets
55,Demaryius Thomas WR,11,36,58,433,12.0,1,47,4,39.4,0,0,176,22,Receiving,Jets
56,Ryan Griffin TE,13,34,41,320,9.4,5,45,4,24.6,0,0,182,19,Receiving,Jets
57,Vyncint Smith WR,13,17,31,225,13.2,0,37,4,17.3,0,0,107,11,Receiving,Jets
58,Braxton Berrios WR,16,6,13,115,19.2,0,69,2,7.2,0,0,87,3,Receiving,Jets
59,Ty Montgomery RB,16,13,17,90,6.9,0,21,1,5.6,0,0,95,3,Receiving,Jets
60,Daniel Brown TE,16,7,11,72,10.3,1,24,2,4.5,0,0,19,4,Receiving,Jets
61,Trevon Wesco TE,16,2,3,47,23.5,0,32,1,2.9,0,0,41,2,Receiving,Jets
62,Bilal Powell RB,13,7,12,33,4.7,0,9,0,2.5,0,0,46,0,Receiving,Jets
63,Josh Bellamy WR,7,2,3,20,10.0,0,15,0,2.9,0,0,10,1,Receiving,Jets
64,Jeff Smith WR,1,1,2,12,12.0,0,12,0,12.0,0,0,-1,1,Receiving,Jets
65,Chris Herndon TE,1,1,2,7,7.0,0,7,0,7.0,0,0,5,0,Receiving,Jets
66,Quincy Enunwa WR,1,1,3,-4,-4.0,0,8,0,-4.0,1,1,-4,0,Receiving,Jets
67,Mark Andrews TE,15,64,98,852,13.3,10,51,16,56.8,2,1,302,44,Receiving,Ravens
68,Marquise Brown WR,14,46,71,584,12.7,7,83,8,41.7,0,0,237,24,Receiving,Ravens
69,Hayden Hurst TE,16,30,39,349,11.6,2,61,4,21.8,0,0,155,16,Receiving,Ravens
70,Willie Snead IV WR,16,31,46,339,10.9,5,50,4,21.2,0,0,140,20,Receiving,Ravens
71,Nick Boyle TE,16,31,43,321,10.4,2,35,4,20.1,0,0,160,13,Receiving,Ravens
72,Seth Roberts WR,16,21,35,271,12.9,2,33,3,16.9,0,0,68,18,Receiving,Ravens
73,Mark Ingram II RB,15,26,29,247,9.5,5,25,3,16.5,0,0,230,16,Receiving,Ravens
74,Miles Boykin WR,16,13,22,198,15.2,3,50,2,12.4,0,0,16,10,Receiving,Ravens
75,Justice Hill RB,16,8,15,70,8.8,0,14,0,4.4,0,0,82,5,Receiving,Ravens
76,Patrick Ricard FB,16,8,11,47,5.9,1,10,0,2.9,0,0,55,3,Receiving,Ravens
77,Gus Edwards RB,16,7,7,45,6.4,0,10,0,2.8,0,0,47,2,Receiving,Ravens
78,Chris Moore WR,14,3,5,21,7.0,0,13,0,1.5,0,0,11,0,Receiving,Ravens
79,Jaleel Scott WR,3,1,3,6,6.0,0,6,0,2.0,0,0,5,0,Receiving,Ravens
80,Tyler Boyd WR,16,90,148,1046,11.6,5,47,12,65.4,2,2,358,51,Receiving,Bengals
81,Auden Tate WR,12,40,80,575,14.4,1,33,8,47.9,1,1,202,29,Receiving,Bengals
82,Alex Erickson WR,16,43,78,529,12.3,0,52,5,33.1,1,0,230,26,Receiving,Bengals
83,John Ross III WR,8,28,56,506,18.1,3,66,10,63.3,1,1,200,22,Receiving,Bengals
84,Tyler Eifert TE,16,43,63,436,10.1,3,27,4,27.3,0,0,115,24,Receiving,Bengals
85,Joe Mixon RB,16,35,45,287,8.2,3,33,4,17.9,0,0,335,14,Receiving,Bengals
86,C.J. Uzomah TE,16,27,40,242,9.0,2,36,2,15.1,0,0,131,12,Receiving,Bengals
87,Giovani Bernard RB,16,30,43,234,7.8,0,35,2,14.6,2,1,220,7,Receiving,Bengals
88,Damion Willis WR,10,9,16,82,9.1,0,17,0,8.2,0,0,17,3,Receiving,Bengals
89,Drew Sample TE,9,5,6,30,6.0,0,21,1,3.3,0,0,12,1,Receiving,Bengals
90,Stanley Morgan WR,11,3,10,18,6.0,0,9,0,1.6,0,0,11,0,Receiving,Bengals
91,Cethan Carter TE,15,2,3,13,6.5,1,8,0,0.9,0,0,7,2,Receiving,Bengals
92,Andy Dalton QB,13,1,1,-4,-4.0,0,-4,0,-0.3,0,0,4,0,Receiving,Bengals
93,Jarvis Landry WR,16,83,138,1174,14.1,6,65,20,73.4,0,0,440,55,Receiving,Browns
94,Odell Beckham Jr. WR,16,74,133,1035,14.0,4,89,16,64.7,0,0,331,44,Receiving,Browns
95,Kareem Hunt RB,8,37,44,285,7.7,1,29,2,35.6,0,0,281,17,Receiving,Browns
96,Nick Chubb RB,16,36,49,278,7.7,0,32,4,17.4,1,1,320,13,Receiving,Browns
97,Ricky Seals-Jones TE,14,14,22,229,16.4,4,59,5,16.4,1,1,100,10,Receiving,Browns
98,Damion Ratley WR,13,12,24,200,16.7,1,46,4,15.4,0,0,53,11,Receiving,Browns
99,Demetrius Harris TE,15,15,27,149,9.9,3,23,2,9.9,0,0,66,10,Receiving,Browns
100,Dontrell Hilliard RB,14,12,15,92,7.7,0,19,0,6.6,0,0,104,4,Receiving,Browns
101,Antonio Callaway WR,4,8,15,89,11.1,0,41,1,22.3,0,0,45,3,Receiving,Browns
102,KhaDarel Hodge WR,16,4,10,76,19.0,0,41,1,4.8,0,0,10,3,Receiving,Browns
103,D'Ernest Johnson RB,16,6,7,71,11.8,0,27,1,4.4,0,0,44,1,Receiving,Browns
104,Rashard Higgins WR,10,4,11,55,13.8,1,35,1,5.5,0,0,10,3,Receiving,Browns
105,Stephen Carlson TE,9,5,7,51,10.2,1,21,1,5.7,0,0,23,2,Receiving,Browns
106,David Njoku TE,4,5,10,41,8.2,1,18,0,10.3,0,0,14,3,Receiving,Browns
107,Pharaoh Brown TE,9,2,3,27,13.5,0,18,0,3.0,0,0,14,1,Receiving,Browns
108,Wyatt Teller G,15,1,1,-5,-5.0,0,-5,0,-0.3,0,0,-1,0,Receiving,Browns
109,James Washington WR,15,44,80,735,16.7,3,79,13,49.0,1,1,203,31,Receiving,Steelers
110,Diontae Johnson WR,16,59,92,680,11.5,5,45,7,42.5,3,1,307,31,Receiving,Steelers
111,JuJu Smith-Schuster WR,12,42,70,552,13.1,3,76,7,46.0,1,1,243,23,Receiving,Steelers
112,Jaylen Samuels RB,14,47,57,305,6.5,1,27,1,21.8,1,1,372,19,Receiving,Steelers
113,Vance McDonald TE,14,38,55,273,7.2,3,22,2,19.5,1,0,176,12,Receiving,Steelers
114,James Conner RB,10,34,38,251,7.4,3,26,4,25.1,0,0,297,14,Receiving,Steelers
115,Nick Vannett TE,13,13,17,128,9.8,0,18,0,9.8,0,0,68,4,Receiving,Steelers
116,Deon Cain WR,6,5,6,72,14.4,0,35,2,12.0,0,0,13,4,Receiving,Steelers
117,Tevin Jones WR,5,4,10,61,15.3,0,28,1,12.2,0,0,12,1,Receiving,Steelers
118,Trey Edmunds RB,11,6,7,48,8.0,0,11,0,4.4,0,0,41,2,Receiving,Steelers
119,Ryan Switzer WR,9,8,11,27,3.4,0,8,0,3.0,0,0,18,2,Receiving,Steelers
120,Benny Snell Jr. RB,13,3,4,23,7.7,0,14,0,1.8,0,0,25,0,Receiving,Steelers
121,Johnny Holton WR,16,3,15,21,7.0,0,18,0,1.3,0,0,9,1,Receiving,Steelers
122,Donte Moncrief WR,5,4,15,18,4.5,0,11,0,3.6,0,0,3,1,Receiving,Steelers
123,Kerrith Whyte RB,6,1,1,9,9.0,0,9,0,1.5,0,0,11,1,Receiving,Steelers
124,Roosevelt Nix FB,3,2,3,4,2.0,0,4,0,1.3,0,0,10,0,Receiving,Steelers
125,Zach Gentry TE,4,1,1,4,4.0,0,4,0,1.0,0,0,3,1,Receiving,Steelers
126,Xavier Grimble TE,3,1,3,3,3.0,0,3,0,1.0,0,0,3,0,Receiving,Steelers
127,DeAndre Hopkins WR,15,104,150,1165,11.2,7,43,16,77.7,0,0,393,68,Receiving,Texans
128,Will Fuller V WR,11,49,71,670,13.7,3,54,10,60.9,1,0,227,26,Receiving,Texans
129,Kenny Stills WR,13,40,55,561,14.0,4,45,9,43.2,0,0,141,27,Receiving,Texans
130,Jordan Akins TE,16,36,55,418,11.6,2,53,4,26.1,0,0,244,21,Receiving,Texans
131,Duke Johnson RB,16,44,62,410,9.3,3,21,1,25.6,0,0,362,18,Receiving,Texans
132,Darren Fells TE,16,34,48,341,10.0,7,24,2,21.3,0,0,169,22,Receiving,Texans
133,Keke Coutee WR,9,22,36,254,11.5,0,51,4,28.2,1,1,137,10,Receiving,Texans
134,DeAndre Carter WR,16,11,14,162,14.7,0,46,4,10.1,0,0,57,6,Receiving,Texans
135,Carlos Hyde RB,16,10,16,42,4.2,0,14,0,2.6,0,0,54,2,Receiving,Texans
136,Steven Mitchell Jr. WR,3,2,6,37,18.5,0,21,1,12.3,0,0,14,2,Receiving,Texans
137,Taiwan Jones RB,11,1,1,9,9.0,0,9,0,0.8,0,0,12,0,Receiving,Texans
138,Jordan Thomas TE,5,1,3,8,8.0,0,8,0,1.6,0,0,3,0,Receiving,Texans
139,Deshaun Watson QB,15,1,1,6,6.0,1,6,0,0.4,0,0,6,1,Receiving,Texans
140,Zach Pascal WR,16,41,72,607,14.8,5,37,11,37.9,0,0,234,29,Receiving,Colts
141,T.Y. Hilton WR,10,45,68,501,11.1,5,35,6,50.1,0,0,213,24,Receiving,Colts
142,Jack Doyle TE,16,43,72,448,10.4,4,23,4,28.0,1,0,223,29,Receiving,Colts
143,Eric Ebron TE,11,31,52,375,12.1,3,48,4,34.1,0,0,165,20,Receiving,Colts
144,Nyheim Hines RB,16,44,58,320,7.3,0,21,2,20.0,1,1,313,15,Receiving,Colts
145,Marcus Johnson WR,8,17,33,277,16.3,2,50,3,34.6,0,0,45,12,Receiving,Colts
146,Chester Rogers WR,12,16,28,179,11.2,2,27,2,14.9,0,0,71,11,Receiving,Colts
147,Parris Campbell WR,7,18,24,127,7.1,1,27,1,18.1,2,1,109,6,Receiving,Colts
148,Mo Alie-Cox TE,16,8,11,93,11.6,0,21,1,5.8,0,0,60,5,Receiving,Colts
149,Marlon Mack RB,14,14,17,82,5.9,0,14,0,5.9,0,0,83,2,Receiving,Colts
150,Jonathan Williams RB,9,5,5,59,11.8,0,31,1,6.6,0,0,65,3,Receiving,Colts
