Rank,Name,Salary
642.0,Don Muhlbach48,1030000
642.0,Matt Schaub8,1030000
642.0,J.J. Jansen44,1030000
657.0,Jaire Alexander23,1027761
658.0,Cody Whitehair65,1026077
659.0,L.J. Fort58,1025000
660.0,Sidney Jones22,1023190
661.0,Leighton Vander Esch55,1018535
662.0,Frank Ragnow77,1015461
663.0,Gerald Everett81,1014497
664.0,Billy Price53,1012386
665.0,Sean Davis21,1007314
666.0,Rashaan Evans54,1006236
667.0,Adam Shaheen87,1002322
668.0,Isaiah Wynn76,1000087
669.0,Tyler Eifert88,1000000
669.0,Malcom Brown90,1000000
669.0,Quincy Enunwa81,1000000
669.0,Landon Collins20,1000000
669.0,Stephon Gilmore24,1000000
669.0,Brandin Cooks12,1000000
669.0,Maurkice Pouncey53,1000000
669.0,Brent Qvale79,1000000
669.0,Pierre Desir35,1000000
669.0,T.J. Yeldon22,1000000
669.0,Mike Pennel64,1000000
669.0,Justin Houston50,1000000
669.0,Shaquil Barrett58,1000000
669.0,Nick O'Leary86,1000000
669.0,Za'Darius Smith55,1000000
669.0,Brandon Bolden38,1000000
669.0,Denzelle Good71,1000000
669.0,Morgan Cox46,1000000
669.0,Josh Lambo4,1000000
669.0,Nevin Lawson26,1000000
669.0,Brandon Graham55,1000000
669.0,Darryl Roberts27,1000000
669.0,Brian Poole34,1000000
669.0,Joe Looney73,1000000
669.0,Johnathan Hankins90,1000000
669.0,Justin Tucker9,1000000
669.0,Nick Boyle86,1000000
669.0,Cameron Fleming75,1000000
669.0,Jake Ryan47,1000000
669.0,Chris Reed64,1000000
669.0,Craig Robertson52,1000000
669.0,Christian Covington,1000000
669.0,Jamize Olawale49,1000000
669.0,Neville Hewitt46,1000000
669.0,Julian Edelman11,1000000
669.0,Ronald Darby21,1000000
669.0,Dan Bailey5,1000000
669.0,Tyrod Taylor5,1000000
669.0,Rodney Gunter95,1000000
669.0,Malik Jackson97,1000000
669.0,Kyle Fuller23,1000000
669.0,Kyle Fuller61,1000000
669.0,C.J. Mosley57,1000000
669.0,Matt Paradis61,1000000
669.0,Malcolm Brown34,1000000
669.0,Mike Davis27,1000000
669.0,Chris Boswell9,1000000
669.0,Margus Hunt,1000000
669.0,Oday Aboushi76,1000000
669.0,Mike Iupati70,1000000
669.0,Latavius Murray28,1000000
669.0,Casey Kreiter58,1000000
741.0,Vonn Bell24,991677
742.0,Quincy Wilson31,989207
745.0,Hayden Hurst81,981638
746.0,Tyler Boyd83,980769
747.0,Calvin Ridley18,975487
748.0,Spencer Pulley77,975000
748.0,Austin Reiter62,975000
752.0,Tyus Bowser54,971874
753.0,Rashaad Penny20,969338
754.0,Terrell Edmunds34,966263
755.0,Joe Mixon28,960470
756.0,Ryan Anderson52,949066
757.0,Taven Bryan90,941589
758.0,James Bradberry24,940114
760.0,Josh Bellamy15,930000
760.0,Taiwan Jones26,930000
760.0,Bryan Anger9,930000
760.0,Andrew Sendejo34,930000
760.0,Adrian Clayborn99,930000
760.0,Nick Sundberg57,930000
760.0,Jake McQuaide44,930000
760.0,Fletcher Cox91,930000
760.0,Josh Harris47,930000
760.0,Aaron Brewer,930000
760.0,Aaron Brewer46,930000
760.0,Nick Bellore44,930000
760.0,Jon Weeks46,930000
760.0,Jason Kelce62,930000
760.0,Anthony Sherman42,930000
792.0,Mike Hughes21,928522
793.0,DeMarcus Walker57,926260
794.0,Cody Latimer12,925000
795.0,Sony Michel26,917577
796.0,Lamar Jackson21,910529
796.0,Lamar Jackson8,910529
797.0,Foster Moreau87,910000
798.0,Darren Fells87,900000
798.0,John Miller67,900000
798.0,Tyler Larsen69,900000
798.0,Ryan Allen9,900000
798.0,John Simon55,900000
798.0,Bobby Hart68,900000
798.0,Shamar Stephen93,900000
810.0,Raekwon McMillan52,892049
811.0,Dalvin Tomlinson94,880646
812.0,Zach Cunningham41,871522
813.0,Ethan Pocic77,865821
814.0,Chidobe Awuzie24,854417
815.0,Tyrann Mathieu32,850000
815.0,Chris Banjo31,850000
815.0,David Mayo55,850000
815.0,Brent Urban92,850000
815.0,Josh Hill89,850000
815.0,Wil Lutz3,850000
815.0,D.J. Fluker78,850000
815.0,Denzel Perryman52,850000
815.0,Preston Smith91,850000
815.0,Neiko Thorpe23,850000
815.0,P.J. Williams26,850000
829.0,Josh Jones26,849856
829.0,Josh Jones79,849856
830.0,JuJu Smith-Schuster19,846434
831.0,Dion Dawkins73,845294
832.0,Taylor Moton72,843014
833.0,Tanoh Kpassagnon92,832838
836.0,Maxx Crosby98,822500
837.0,Austin Corbett63,821745
838.0,Larry Ogunjobi65,820200
839.0,Jonathan Bullard90,820000
839.0,James Winchester41,820000
841.0,Will Hernandez71,818670
842.0,Nick Chubb24,815595
843.0,Ahkello Witherspoon23,815375
844.0,Dawuane Smoot94,812500
844.0,Justice Hill43,812500
844.0,Dru Samia73,812500
847.0,Cooper Kupp18,811000
848.0,Pat Elflein65,809500
849.0,Darius Leonard53,809446
850.0,Alvin Kamara41,807500
851.0,Braden Smith72,806986
853.0,Richard Rodgers82,805000
853.0,David Fales3,805000
853.0,Jordan Richards28,805000
853.0,Lane Johnson65,805000
853.0,Vince Williams98,805000
853.0,De'Anthony Thomas16,805000
853.0,Phillip Gaines29,805000
853.0,Danny Shelton71,805000
853.0,A.J. Cann60,805000
853.0,Nick Williams97,805000
853.0,Trey Flowers90,805000
853.0,Terrence Brooks25,805000
853.0,Tyler Shatley69,805000
853.0,James O'Shaughnessy80,805000
853.0,Dakota Dozier78,805000
853.0,Bashaud Breeland21,805000
853.0,Blake Bell80,805000
853.0,John Jenkins,805000
853.0,Benson Mayowa91,805000
853.0,Levine Toilolo85,805000
853.0,Joe Cardona49,805000
853.0,Blidi Wreh-Wilson33,805000
853.0,Sean Mannion4,805000
853.0,Cedric Ogbuehi74,805000
853.0,Justin Coleman27,805000
853.0,Xavier Su'a-Filo76,805000
853.0,Kevin Pierre-Louis57,805000
853.0,Rod Smith34,805000
853.0,Jordan Devey65,805000
853.0,Andrew Donnal76,805000
853.0,Bradley Pinion8,805000
853.0,Greg Van Roten73,805000
853.0,Kevin Minter51,805000
853.0,Nate Orchard54,805000
853.0,Maxx Williams87,805000
853.0,Jesse James83,805000
853.0,Jaylen Watkins27,805000
853.0,Jeremiah Attaochu97,805000
853.0,Alex Okafor97,805000
853.0,Frank Clark55,805000
853.0,Geremy Davis11,805000
853.0,Logan Thomas82,805000
853.0,Chris Conley18,805000
853.0,Charley Hughlett47,805000
853.0,Rakeem Nunez-Roches56,805000
853.0,Luke Willson82,805000
853.0,Daniel Brown87,805000
853.0,Dontae Johnson27,805000
853.0,Ben Garland63,805000
853.0,Tyeler Davison96,805000
853.0,LaRoy Reynolds59,805000
947.0,Ben Powers72,802500
949.0,Michael Palardy2,800000
949.0,Sheldrick Redwine29,800000
951.0,James Daniels68,795916
952.0,Dan Feeney66,793000
953.0,Isaiah Johnson31,792500
954.0,Courtland Sutton14,790996
956.0,Mike Gesicki88,780542
957.0,Marcus Davenport92,779632
958.0,Kerryon Johnson33,775622
959.0,Alex Tanney3,775000
960.0,Taywan Taylor10,773500
961.0,Dante Pettis18,770934
962.0,Josh Jackson37,764368
963.0,Jordan Willis60,754750
964.0,Ben Braunecker82,750000
964.0,Eric Tomlinson83,750000
967.0,Isaac Seumalo73,749000
968.0,Christian Kirk13,747948
970.0,Uchenna Nwosu42,741799
971.0,Chris Wormley93,736000
971.0,Nick Vannett88,736000
973.0,Dallas Goedert88,735649
974.0,Connor Williams52,729500
975.0,Duke Riley50,726500
976.0,Anthony Miller17,723350
977.0,Sheldon Day91,720000
