,Tremaine Edmunds LB,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team,Jerome Baker LB,Jamie Collins Sr. LB,James Burgess LB,Chuck Clark S,Shawn Williams S,Joe Schobert LB,Devin Bush LB,Zach Cunningham LB,Anthony Walker LB,Jarrod Wilson S,Logan Ryan CB,Todd Davis LB,Anthony Hitchens LB,Tahir Whitehead LB,Thomas Davis Sr. LB,Jaylon Smith LB,Antoine Bethea S,Malcolm Jenkins S,Landon Collins S,Roquan Smith LB,Tracy Walker S,Blake Martinez LB,Eric Kendricks LB,De'Vondre Campbell LB,Luke Kuechly LB,Demario Davis LB,Lavonte David LB,Jordan Hicks LB,Cory Littleton LB,Fred Warner LB,Bobby Wagner LB
9,,16,20,14,34,1.0,7,2.5,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Reshad Jones S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,4,17,10,27,0.0,0,2.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Bobby McCain S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,9,19,6,25,0.0,0,0.0,3,2,53,32,0,0,0,0,0,Defense,Dolphins,Avery Moss DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,11,11,14,25,0.0,0,0.0,0,0,0,0,0,1,0,0,0,Defense,Dolphins,Ryan Lewis CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,8,19,5,24,0.0,0,1.0,5,1,3,3,0,0,0,0,0,Defense,Dolphins,Charles Harris DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,14,11,12,23,0.5,3,2.5,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Adrian Colbert S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,6,16,6,22,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins,Trent Harris LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,11,16,6,22,1.5,10,1.5,0,0,0,0,0,1,0,0,0,Defense,Dolphins,Walt Aikens S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,15,15,6,21,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Taco Charlton DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,10,14,7,21,5.0,34,5.5,0,0,0,0,0,2,0,0,0,Defense,Dolphins,Steven Parker S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,14,15,5,20,0.0,0,0.0,3,2,35,35,0,0,0,0,0,Defense,Dolphins,Ken Webster CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,8,17,2,19,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Xavien Howard CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5,12,5,17,0.0,0,0.0,4,1,0,0,0,0,0,0,0,Defense,Dolphins,Andrew Van Ginkel LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,6,11,4,15,1.0,8,4.0,0,0,0,0,0,0,1,0,0,Defense,Dolphins,Chris Lammons CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,12,8,5,13,0.0,0,0.0,3,1,0,0,0,0,0,0,0,Defense,Dolphins,Minkah Fitzpatrick S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2,8,4,12,0.0,0,0.0,0,0,0,0,0,1,1,0,0,Defense,Dolphins,Nate Brooks CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,3,10,1,11,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins,Zach Sieler DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,3,3,5,8,1.0,8,1.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins,Durham Smythe TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,16,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Montre Hartage S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,4,6,2,8,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Calvin Munson LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2,5,2,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Tae Hayes CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2,4,3,7,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins,Patrick Laird RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,15,5,1,6,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Ken Crawley CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,4,6,0,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Johnson Bademosi CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,4,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Jonathan Ledbetter DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,1,1,3,4,0.5,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Deon Lacey LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,16,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Linden Stephens CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,3,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Michael Deiter G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,De'Lance Turner RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,8,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Jakeem Grant WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,10,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Tank Carradine DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,1,1,2,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Allen Hurns WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,14,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Mike Gesicki TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Preston Williams WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,8,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,DeVante Parker WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Gerald Willis DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,2,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Mack Hollins WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,4,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Matt Haack P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,16,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Julie'n Davenport OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,James Crawford LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,3,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Danny Isidora G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,3,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Isaiah Ford WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Jesse Davis OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Jason Sanders PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins,Kalen Ballage RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,58,23,81,7.0,54,14.0,7,3,85,69,1,3,1,0,0,Defense,Patriots,,Dont'a Hightower LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,15,47,24,71,5.5,42,9.5,4,0,0,0,0,0,1,1,0,Defense,Patriots,,Lawrence Guy DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,35,26,61,3.0,21,6.0,1,1,5,5,0,0,2,0,0,Defense,Patriots,,Danny Shelton DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,16,30,31,61,3.0,24,3.5,0,0,0,0,0,1,0,0,0,Defense,Patriots,,Devin McCourty S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,16,46,12,58,0.0,0,1.5,7,5,49,24,0,2,1,0,0,Defense,Patriots,,Kyle Van Noy LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,15,41,15,56,6.5,42,9.0,3,0,0,0,0,3,2,1,0,Defense,Patriots,,Jonathan Jones CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,15,38,15,53,0.0,0,0.0,8,0,0,0,0,2,0,0,0,Defense,Patriots,,Stephon Gilmore CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,16,44,9,53,0.0,0,0.0,20,6,126,64,2,0,1,0,0,Defense,Patriots,,Patrick Chung S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,38,13,51,0.0,0,1.0,3,0,0,0,0,0,0,0,0,Defense,Patriots,,John Simon DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,16,28,16,44,4.0,24,5.5,4,1,6,6,0,1,0,0,0,Defense,Patriots,,Ja'Whaun Bentley LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,16,29,15,44,0.0,0,2.5,1,0,0,0,0,0,0,0,0,Defense,Patriots,,Jason McCourty CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,12,31,9,40,0.0,0,0.0,6,1,16,16,0,0,0,0,0,Defense,Patriots,,J.C. Jackson CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,16,29,7,36,0.0,0,0.0,10,5,39,19,0,0,0,0,1,Defense,Patriots,,Elandon Roberts LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,16,18,11,29,1.0,11,1.5,1,0,0,0,0,0,0,0,0,Defense,Patriots,,Adam Butler DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,16,17,9,26,6.0,35,8.0,5,0,0,0,0,0,0,0,0,Defense,Patriots,,Deatrich Wise Jr. DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,14,20,6,26,2.0,12,3.0,0,0,0,0,0,1,0,0,0,Defense,Patriots,,Chase Winovich DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,16,17,9,26,5.5,37,5.5,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Terrence Brooks S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,15,17,7,24,0.0,0,0.5,3,1,0,0,0,0,0,0,0,Defense,Patriots,,Duron Harmon S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,16,19,3,22,0.0,0,1.5,5,2,27,27,0,0,0,0,0,Defense,Patriots,,Matthew Slater WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,16,7,3,10,0.0,0,0.0,0,0,0,0,0,0,1,0,1,Defense,Patriots,,Shilique Calhoun LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,15,6,3,9,0.0,0,1.0,0,0,0,0,0,1,0,0,0,Defense,Patriots,,Nate Ebner S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,14,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,1,Defense,Patriots,,Brandon Bolden RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,15,7,0,7,0.0,0,0.0,0,0,0,0,0,1,0,0,1,Defense,Patriots,,Justin Bethel CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,9,5,1,6,0.0,0,0.0,0,0,0,0,0,0,2,0,0,Defense,Patriots,,Michael Bennett DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,6,4,1,5,2.5,22,2.5,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Rex Burkhead RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,13,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Joejuan Williams CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,9,4,1,5,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Patriots,,Stephen Gostkowski PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,4,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Joe Cardona LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,16,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,James White RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Byron Cowart DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,5,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Jordan Richards S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,3,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Tom Brady QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Shaq Mason G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Jake Bailey P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Sony Michel RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Mohamed Sanu Sr. WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Julian Edelman WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,Gunner Olszewski WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots,,James Develin FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,10,51,29,80,0.5,5,9.5,5,1,2,2,0,1,1,0,0,Defense,Jets,,,Neville Hewitt LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
