,Stephen Hauschka PK,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team,Jason Sanders PK,Nick Folk PK,Sam Ficken PK,Justin Tucker PK,Randy Bullock PK,Austin Seibert PK,Chris Boswell PK,Ka'imi Fairbairn PK,Adam Vinatieri PK,Josh Lambo PK,Derrick Henry RB,Brandon McManus PK,Harrison Butker PK,Daniel Carlson PK,Austin Ekeler RB,Brett Maher PK,Aldrick Rosas PK,Jake Elliott PK,Dustin Hopkins PK,Eddy Pineiro PK,Matt Prater PK,Aaron Jones RB,Dan Bailey PK,Younghoe Koo PK,Christian McCaffrey RB,Wil Lutz PK,Matt Gay PK,Zane Gonzalez PK,Greg Zuerlein PK,Robbie Gould PK,Jason Myers PK
6,,8,4,0,0,4,0,0,0,24,3.0,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Brian Hill RB,,,,,,,
7,,12,2,1,0,3,0,0,0,18,1.5,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Olamide Zaccheaus WR,,,,,,,
8,,10,0,1,1,2,0,0,0,12,1.2,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Deion Jones LB,,,,,,,
9,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Ito Smith RB,,,,,,,
10,,7,1,0,0,1,0,0,0,6,0.9,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Kenjon Barner RB,,,,,,,
11,,14,0,0,1,1,0,0,0,6,0.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Jaeden Graham TE,,,,,,,
12,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Sanu Sr. WR,,,,,,,
13,,7,0,1,0,1,0,0,0,6,0.9,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Russell Gage WR,,,,,,,
14,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan QB,,,,,,,
15,,15,1,0,0,1,0,0,0,6,0.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Ty Sambrailo OT,,,,,,,
0,,16,15,4,0,19,0,0,1,116,7.3,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Joey Slye PK,,,,,,
1,,16,0,0,0,0,25,31,0,106,6.6,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Curtis Samuel WR,,,,,,
2,,16,1,6,0,7,0,0,0,42,2.6,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,DJ Moore WR,,,,,,
3,,15,0,4,0,4,0,0,0,24,1.6,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Allen QB,,,,,,
4,,13,2,0,0,2,0,0,0,12,0.9,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Greg Olsen TE,,,,,,
5,,14,0,2,0,2,0,0,0,12,0.9,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Brian Burns DE,,,,,,
6,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Ian Thomas TE,,,,,,
7,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Reggie Bonnafon RB,,,,,,
8,,16,1,0,0,1,0,0,0,6,0.4,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Alex Armah FB,,,,,,
9,,16,1,0,0,1,0,0,0,6,0.4,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Luke Kuechly LB,,,,,,
10,,16,0,0,0,0,0,0,0,2,0.1,Scoring,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,Bruce Irvin DE,,,,,,
0,,16,0,0,0,0,32,48,0,144,9.0,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Thomas WR,,,,,
1,,16,0,9,0,9,0,0,0,54,3.4,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Cook TE,,,,,
2,,14,0,9,0,9,0,0,0,54,3.9,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Taysom Hill QB,,,,,
3,,16,1,6,0,7,0,0,0,42,2.6,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin Kamara RB,,,,,
4,,14,5,1,0,6,0,0,0,36,2.6,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Latavius Murray RB,,,,,
5,,16,5,1,0,6,0,0,0,36,2.3,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Tre'Quan Smith WR,,,,,
6,,11,0,5,0,5,0,0,0,30,2.7,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Hill TE,,,,,
7,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Ted Ginn Jr. WR,,,,,
8,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Drew Brees QB,,,,,
9,,11,1,0,0,1,0,0,0,6,0.5,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Vonn Bell S,,,,,
10,,13,0,0,1,1,0,0,0,6,0.5,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,A.J. Klein LB,,,,,
11,,15,0,0,1,1,0,0,0,6,0.4,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Williams S,,,,,
12,,15,0,0,1,1,0,0,0,6,0.4,Scoring,Saints,,,,,,,,,,,,,,,,,,,,,,,,,,Deonte Harris WR,,,,,
0,,16,0,0,0,0,27,43,0,124,7.8,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Godwin WR,,,,
1,,14,0,9,0,9,0,0,1,56,4.0,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Evans WR,,,,
2,,13,0,8,0,8,0,0,1,50,3.8,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Peyton Barber RB,,,,
3,,16,6,1,0,7,0,0,1,44,2.8,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Breshad Perriman WR,,,,
4,,14,0,6,0,6,0,0,0,36,2.6,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Jones II RB,,,,
5,,16,6,0,0,6,0,0,0,36,2.3,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron Brate TE,,,,
6,,16,0,4,0,4,0,0,0,24,1.5,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Watson WR,,,,
7,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Ndamukong Suh DT,,,,
8,,16,0,0,2,2,0,0,0,12,0.8,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Devin White LB,,,,
9,,13,0,0,2,2,0,0,0,12,0.9,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Dare Ogunbowale RB,,,,
10,,16,2,0,0,2,0,0,0,12,0.8,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Jameis Winston QB,,,,
11,,16,1,0,0,1,0,0,2,10,0.6,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,O.J. Howard TE,,,,
12,,14,0,1,0,1,0,0,0,6,0.4,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotty Miller WR,,,,
13,,10,0,1,0,1,0,0,0,6,0.6,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Vita Vea DT,,,,
14,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernon Hargreaves III CB,,,,
15,,9,0,0,1,1,0,0,0,6,0.7,Scoring,Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Murphy-Bunting CB,,,,
0,,16,0,0,0,0,31,34,0,127,7.9,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenyan Drake RB,,,
1,,8,8,0,0,8,0,0,1,50,6.3,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Johnson RB,,,
2,,13,2,4,0,6,0,0,0,36,2.8,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chase Edmonds RB,,,
3,,13,4,1,0,5,0,0,0,30,2.3,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larry Fitzgerald WR,,,
4,,16,0,4,0,4,0,0,0,24,1.5,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyler Murray QB,,,
5,,16,4,0,0,4,0,0,0,24,1.5,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Kirk WR,,,
6,,13,0,3,0,3,0,0,1,20,1.5,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Arnold TE,,,
7,,3,0,2,0,2,0,0,0,12,4.0,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,KeeSean Johnson WR,,,
8,,10,0,1,0,1,0,0,1,8,0.8,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damiere Byrd WR,,,
9,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Clay TE,,,
10,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxx Williams TE,,,
11,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy Isabella WR,,,
12,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharoh Cooper WR,,,
0,,16,0,0,0,0,24,42,0,114,7.1,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Todd Gurley II RB,,
1,,15,12,2,0,14,0,0,1,86,5.7,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooper Kupp WR,,
2,,16,0,10,0,10,0,0,0,60,3.8,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malcolm Brown RB,,
3,,14,5,0,0,5,0,0,0,30,2.1,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Woods WR,,
4,,15,1,2,0,3,0,0,0,18,1.2,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Higbee TE,,
5,,15,0,3,0,3,0,0,0,18,1.2,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerald Everett TE,,
6,,13,0,2,0,2,0,0,0,12,0.9,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Goff QB,,
7,,16,2,0,0,2,0,0,0,12,0.8,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandin Cooks WR,,
8,,14,0,2,0,2,0,0,0,12,0.9,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Reynolds WR,,
9,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darious Williams CB,,
10,,12,0,0,1,1,0,0,0,6,0.5,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dante Fowler Jr. DE,,
11,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylor Rapp S,,
12,,15,0,0,1,1,0,0,0,6,0.4,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Peters CB,,
13,,6,0,0,1,1,0,0,0,6,1.0,Scoring,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Donald DT,,
0,,13,0,0,0,0,23,41,0,110,8.5,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raheem Mostert RB,
1,,16,8,2,0,10,0,0,0,60,3.8,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tevin Coleman RB,
2,,14,6,1,0,7,0,0,0,42,3.0,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deebo Samuel WR,
3,,15,3,3,0,6,0,0,1,38,2.5,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kendrick Bourne WR,
4,,16,0,5,0,5,0,0,1,32,2.0,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeff Wilson Jr. RB,
5,,10,4,1,0,5,0,0,0,30,3.0,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Kittle TE,
6,,14,0,5,0,5,0,0,0,30,2.1,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chase McLaughlin PK,
7,,3,0,0,0,0,7,8,0,29,9.7,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Sanders WR,
8,,10,0,3,0,3,0,0,0,18,1.8,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ross Dwelley TE,
9,,16,0,2,0,2,0,0,0,12,0.8,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Breida RB,
10,,13,1,1,0,2,0,0,0,12,0.9,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dante Pettis WR,
11,,11,0,2,0,2,0,0,0,12,1.1,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Juszczyk FB,
12,,12,0,1,0,1,0,0,0,6,0.5,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Sherman CB,
13,,15,0,0,1,1,0,0,0,6,0.4,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.J. Reed Jr. CB,
14,,16,0,0,1,1,0,0,0,6,0.4,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fred Warner LB,
15,,16,0,0,1,1,0,0,0,6,0.4,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeForest Buckner DT,
16,,16,0,0,1,1,0,0,0,6,0.4,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquise Goodwin WR,
17,,9,0,1,0,1,0,0,0,6,0.7,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahkello Witherspoon CB,
18,,10,0,0,1,1,0,0,0,6,0.6,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Garoppolo QB,
19,,16,1,0,0,1,0,0,0,6,0.4,Scoring,49ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richie James Jr. WR,
0,,16,0,0,0,0,23,40,0,109,6.8,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Carson RB
1,,15,7,2,0,9,0,0,0,54,3.6,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Lockett WR
2,,16,0,8,0,8,0,0,0,48,3.0,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DK Metcalf WR
3,,16,0,7,0,7,0,0,1,44,2.8,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Dissly TE
4,,6,0,4,0,4,0,0,0,24,4.0,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rashaad Penny RB
5,,10,3,1,0,4,0,0,0,24,2.4,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russell Wilson QB
6,,16,3,0,0,3,0,0,0,18,1.1,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Hollister TE
7,,11,0,3,0,3,0,0,0,18,1.6,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaron Brown WR
8,,14,0,2,0,2,0,0,0,12,0.9,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jadeveon Clowney DE
9,,13,0,0,2,2,0,0,0,12,0.9,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Moore WR
10,,14,0,2,0,2,0,0,0,12,0.9,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Bellore FB
11,,14,0,1,0,1,0,0,0,6,0.4,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.J. Prosise RB
12,,9,1,0,0,1,0,0,0,6,0.7,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quandre Diggs S
13,,5,0,0,1,1,0,0,0,6,1.2,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malik Turner WR
14,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Seahawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshawn Lynch RB
