,Stephen Hauschka PK,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team,Jason Sanders PK,Nick Folk PK,Sam Ficken PK,Justin Tucker PK,Randy Bullock PK,Austin Seibert PK,Chris Boswell PK,Ka'imi Fairbairn PK,Adam Vinatieri PK,Josh Lambo PK,Derrick Henry RB,Brandon McManus PK,Harrison Butker PK,Daniel Carlson PK,Austin Ekeler RB,Brett Maher PK,Aldrick Rosas PK,Jake Elliott PK,Dustin Hopkins PK,Eddy Pineiro PK,Matt Prater PK,Aaron Jones RB,Dan Bailey PK,Younghoe Koo PK,Christian McCaffrey RB,Wil Lutz PK,Matt Gay PK,Zane Gonzalez PK,Greg Zuerlein PK,Robbie Gould PK,Jason Myers PK
9,,12,0,2,0,2,0,0,0,12,1.0,Scoring,Colts,,,,,,,,,Jordan Wilkins RB,,,,,,,,,,,,,,,,,,,,,,
10,,14,2,0,0,2,0,0,0,12,0.9,Scoring,Colts,,,,,,,,,Marcus Johnson WR,,,,,,,,,,,,,,,,,,,,,,
11,,8,0,2,0,2,0,0,0,12,1.5,Scoring,Colts,,,,,,,,,Parris Campbell WR,,,,,,,,,,,,,,,,,,,,,,
12,,7,0,1,0,1,0,0,0,6,0.9,Scoring,Colts,,,,,,,,,Jonathan Williams RB,,,,,,,,,,,,,,,,,,,,,,
13,,9,1,0,0,1,0,0,0,6,0.7,Scoring,Colts,,,,,,,,,Darius Leonard LB,,,,,,,,,,,,,,,,,,,,,,
14,,13,0,0,1,1,0,0,0,6,0.5,Scoring,Colts,,,,,,,,,Justin Houston DE,,,,,,,,,,,,,,,,,,,,,,
15,,16,0,0,0,0,0,0,0,2,0.1,Scoring,Colts,,,,,,,,,Bobby Okereke LB,,,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,33,19,0,118,7.4,Scoring,Jaguars,,,,,,,,,,DJ Chark Jr. WR,,,,,,,,,,,,,,,,,,,,,
1,,15,0,8,0,8,0,0,1,50,3.3,Scoring,Jaguars,,,,,,,,,,Chris Conley WR,,,,,,,,,,,,,,,,,,,,,
2,,16,0,5,0,5,0,0,1,32,2.0,Scoring,Jaguars,,,,,,,,,,Dede Westbrook WR,,,,,,,,,,,,,,,,,,,,,
3,,15,0,3,0,3,0,0,2,22,1.5,Scoring,Jaguars,,,,,,,,,,Leonard Fournette RB,,,,,,,,,,,,,,,,,,,,,
4,,15,3,0,0,3,0,0,0,18,1.2,Scoring,Jaguars,,,,,,,,,,Keelan Cole WR,,,,,,,,,,,,,,,,,,,,,
5,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Jaguars,,,,,,,,,,James O'Shaughnessy TE,,,,,,,,,,,,,,,,,,,,,
6,,5,0,2,0,2,0,0,0,12,2.4,Scoring,Jaguars,,,,,,,,,,Ryquell Armstead RB,,,,,,,,,,,,,,,,,,,,,
7,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Jaguars,,,,,,,,,,Nick O'Leary TE,,,,,,,,,,,,,,,,,,,,,
8,,5,0,1,0,1,0,0,0,6,1.2,Scoring,Jaguars,,,,,,,,,,Calais Campbell DE,,,,,,,,,,,,,,,,,,,,,
9,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Jaguars,,,,,,,,,,Yannick Ngakoue DE,,,,,,,,,,,,,,,,,,,,,
0,,15,16,2,0,18,0,0,0,108,7.2,Scoring,Titans,,,,,,,,,,,A.J. Brown WR,,,,,,,,,,,,,,,,,,,,
1,,16,1,8,0,9,0,0,0,54,3.4,Scoring,Titans,,,,,,,,,,,Ryan Succop PK,,,,,,,,,,,,,,,,,,,,
2,,6,0,0,0,0,1,24,0,27,4.5,Scoring,Titans,,,,,,,,,,,Ryan Tannehill QB,,,,,,,,,,,,,,,,,,,,
3,,12,4,0,0,4,0,0,1,26,2.2,Scoring,Titans,,,,,,,,,,,Tajae Sharpe WR,,,,,,,,,,,,,,,,,,,,
4,,15,0,4,0,4,0,0,0,24,1.6,Scoring,Titans,,,,,,,,,,,Cairo Santos PK,,,,,,,,,,,,,,,,,,,,
5,,5,0,0,0,0,4,12,0,24,4.8,Scoring,Titans,,,,,,,,,,,Jonnu Smith TE,,,,,,,,,,,,,,,,,,,,
6,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Titans,,,,,,,,,,,Cody Parkey PK,,,,,,,,,,,,,,,,,,,,
7,,3,0,0,0,0,3,5,0,14,4.7,Scoring,Titans,,,,,,,,,,,Delanie Walker TE,,,,,,,,,,,,,,,,,,,,
8,,7,0,2,0,2,0,0,0,12,1.7,Scoring,Titans,,,,,,,,,,,Adam Humphries WR,,,,,,,,,,,,,,,,,,,,
