,Name,PlayerID,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
6579,Davon House,7518,"6' 0""",65%,195 lbs,63%,4.44 sec,65%,4.12 sec,60%,6.65 sec,85%,33.5 in,20%,109 in,2%,14 reps,40%,NaN,NaN,NaN,NaN
6580,Jalil Brown,7519,"6' 1""",70%,210 lbs,94%,4.52 sec,35%,4.25 sec,28%,6.85 sec,44%,35.5 in,50%,116 in,20%,24 reps,96%,NaN,NaN,NaN,NaN
6581,Curtis Marsh,7520,"6' 1""",70%,197 lbs,70%,4.42 sec,73%,4.07 sec,70%,6.87 sec,40%,37.5 in,73%,123 in,60%,12 reps,20%,NaN,NaN,NaN,NaN
6583,Roc Carmichael,7522,"5' 10""",20%,197 lbs,70%,4.41 sec,77%,4.06 sec,75%,6.69 sec,82%,31.0 in,7%,116 in,20%,13 reps,30%,9.00 in,30%,31.75 in,63%
6584,Aaron Williams,7523,"6' 0""",35%,199 lbs,14%,4.55 sec,57%,4.07 sec,90%,6.72 sec,85%,37.5 in,75%,18 in,0%,127 reps,100%,NaN,NaN,NaN,NaN
6585,Rahim Moore,7524,"6' 0""",35%,208 lbs,43%,4.58 sec,45%,3.96 sec,95%,6.98 sec,52%,35.0 in,45%,115 in,20%,11 reps,8%,NaN,NaN,NaN,NaN
6586,Quinton Carter,7525,"6' 1""",40%,200 lbs,16%,4.57 sec,50%,4.06 sec,90%,7.05 sec,22%,34.5 in,40%,121 in,60%,23 reps,90%,NaN,NaN,NaN,NaN
6587,Jaiquawn Jarrett,7526,"6' 0""",35%,196 lbs,9%,4.62 sec,32%,4.14 sec,70%,6.95 sec,57%,30.0 in,6%,113 in,13%,14 reps,20%,NaN,NaN,NaN,NaN
6588,Marcus Gilchrist,7527,"5' 10""",10%,200 lbs,16%,4.45 sec,86%,4.12 sec,77%,6.81 sec,68%,38.5 in,83%,119 in,40%,26 reps,95%,NaN,NaN,NaN,NaN
6589,Ahmad Black,7528,"5' 9""",5%,184 lbs,0%,4.70 sec,10%,4.20 sec,52%,6.85 sec,65%,35.5 in,50%,119 in,40%,18 reps,60%,NaN,NaN,NaN,NaN
6591,Jeron Johnson,7530,"5' 10""",10%,212 lbs,65%,4.51 sec,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,90%,9.00 in,20%,31.13 in,33%
6592,DeAndre McDaniel,7531,"6' 0""",35%,217 lbs,82%,4.63 sec,30%,NaN,NaN,NaN,NaN,35.0 in,45%,116 in,25%,NaN,NaN,NaN,NaN,NaN,NaN
6593,Robert Sands,7532,"6' 4""",97%,217 lbs,82%,4.53 sec,63%,4.06 sec,90%,7.03 sec,27%,35.0 in,45%,124 in,80%,12 reps,10%,NaN,NaN,NaN,NaN
6594,Deunta Williams,7533,"6' 1""",40%,205 lbs,30%,4.53 sec,63%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6595,Eric Hagg,7534,"6' 1""",40%,205 lbs,30%,4.62 sec,32%,4.19 sec,55%,6.73 sec,83%,34.5 in,40%,121 in,60%,18 reps,60%,NaN,NaN,NaN,NaN
6596,Joe Lefeged,7535,"5' 11""",20%,210 lbs,50%,4.42 sec,91%,4.13 sec,73%,6.82 sec,67%,36.5 in,60%,122 in,70%,18 reps,60%,NaN,NaN,NaN,NaN
6597,Shiloh Keo,7536,"5' 11""",20%,208 lbs,43%,4.74 sec,8%,3.90 sec,97%,6.55 sec,100%,32.5 in,20%,110 in,7%,24 reps,92%,NaN,NaN,NaN,NaN
6598,Da'Norris Searcy,7537,"5' 11""",20%,205 lbs,30%,4.55 sec,57%,4.09 sec,85%,6.87 sec,64%,33.0 in,23%,120 in,50%,27 reps,97%,NaN,NaN,NaN,NaN
6599,Jerrard Tarrant,7538,"6' 0""",35%,204 lbs,27%,4.57 sec,50%,4.21 sec,50%,6.92 sec,61%,33.0 in,23%,114 in,17%,14 reps,20%,NaN,NaN,NaN,NaN
6600,Chris Conte,7539,"6' 2""",80%,203 lbs,23%,4.52 sec,67%,4.19 sec,55%,7.01 sec,40%,35.5 in,50%,127 in,90%,18 reps,60%,NaN,NaN,NaN,NaN
6601,Will Hill,7540,"6' 1""",40%,207 lbs,40%,4.64 sec,25%,4.19 sec,55%,NaN,NaN,31.0 in,9%,123 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
6611,James Carpenter,7550,"6' 5""",70%,321 lbs,72%,5.28 sec,58%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,30%,9.75 in,40%,34.00 in,70%
6616,Chris Culliver,7555,"6' 0""",65%,199 lbs,80%,4.36 sec,91%,4.08 sec,68%,6.88 sec,39%,38.5 in,80%,123 in,60%,NaN,NaN,8.63 in,20%,31.25 in,40%
6617,Demarcus Van Dyke,7556,"6' 1""",70%,185 lbs,18%,4.28 sec,98%,4.09 sec,66%,6.97 sec,20%,33.5 in,20%,121 in,50%,5 reps,4%,NaN,NaN,NaN,NaN
6620,Kealoha Pilares,7559,"5' 10""",10%,205 lbs,53%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,80%,8.75 in,15%,30.50 in,9%
6621,Anthony Sherman,7560,"5' 10""",0%,242 lbs,30%,4.74 sec,50%,4.41 sec,47%,NaN,NaN,32.5 in,50%,111 in,50%,32 reps,94%,9.38 in,40%,30.00 in,0%
6630,David Ausberry,7569,"6' 4""",30%,258 lbs,67%,4.48 sec,93%,4.43 sec,40%,7.08 sec,80%,36.0 in,83%,121 in,87%,23 reps,70%,NaN,NaN,NaN,NaN
6633,D'Aundre Reed,7572,"6' 4""",50%,258 lbs,24%,4.84 sec,45%,4.32 sec,77%,7.24 sec,37%,35.5 in,80%,119 in,75%,30 reps,85%,NaN,NaN,NaN,NaN
6635,Karl Klug,7574,"6' 3""",20%,278 lbs,81%,4.85 sec,43%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,40%,NaN,NaN,NaN,NaN
6642,J.T. Thomas,7581,"6' 1""",10%,236 lbs,25%,4.65 sec,67%,4.28 sec,60%,7.23 sec,37%,30.5 in,15%,114 in,40%,23 reps,50%,NaN,NaN,NaN,NaN
6653,Sione Fua,7592,"6' 1""",10%,310 lbs,70%,5.28 sec,19%,4.54 sec,72%,7.54 sec,45%,24.0 in,8%,101 in,23%,30 reps,60%,NaN,NaN,NaN,NaN
6656,Josh Thomas,7595,"5' 11""",50%,185 lbs,18%,4.46 sec,57%,4.15 sec,50%,6.99 sec,18%,38.5 in,80%,126 in,75%,13 reps,30%,NaN,NaN,NaN,NaN
6659,James Brewer,7598,"6' 6""",60%,330 lbs,88%,5.27 sec,52%,4.81 sec,42%,7.84 sec,35%,26.0 in,30%,100 in,40%,25 reps,50%,10.35 in,68%,35.50 in,80%
6661,Richard Sherman,7600,"6' 3""",97%,195 lbs,63%,4.56 sec,24%,4.33 sec,15%,6.82 sec,50%,38.0 in,77%,125 in,70%,16 reps,60%,9.75 in,90%,32.00 in,70%
6663,Brandyn Thompson,7602,"5' 9""",10%,189 lbs,30%,4.50 sec,43%,4.12 sec,60%,6.66 sec,85%,33.5 in,20%,114 in,10%,13 reps,30%,NaN,NaN,NaN,NaN
6664,Byron Maxwell,7603,"6' 1""",70%,207 lbs,92%,4.43 sec,70%,NaN,NaN,NaN,NaN,33.0 in,17%,124 in,65%,24 reps,96%,9.50 in,80%,33.50 in,96%
6667,Malcolm Smith,7606,"6' 0""",7%,225 lbs,6%,4.44 sec,97%,4.54 sec,9%,7.08 sec,59%,39.0 in,90%,125 in,91%,28 reps,85%,NaN,NaN,NaN,NaN
6669,Chris Neild,7608,"6' 2""",20%,325 lbs,87%,5.06 sec,60%,4.46 sec,85%,7.56 sec,43%,29.0 in,50%,106 in,55%,30 reps,60%,NaN,NaN,NaN,NaN
6680,Justin Rogers,7619,"5' 11""",50%,180 lbs,9%,4.45 sec,60%,4.20 sec,40%,7.21 sec,5%,33.0 in,17%,114 in,10%,14 reps,40%,NaN,NaN,NaN,NaN
6682,Chykie Brown,7621,"5' 11""",50%,191 lbs,45%,4.49 sec,47%,4.00 sec,86%,6.50 sec,98%,36.5 in,65%,120 in,40%,NaN,NaN,NaN,NaN,NaN,NaN
6684,Buster Skrine,7623,"5' 9""",10%,187 lbs,23%,4.37 sec,90%,3.90 sec,95%,6.44 sec,100%,37.0 in,70%,122 in,55%,20 reps,90%,NaN,NaN,NaN,NaN
