,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
5638,Koa Misi,"6' 3""",70%,265 lbs,97%,4.75 sec,40%,4.27 sec,62%,7.07 sec,60%,38.0 in,85%,127 in,93%,NaN,NaN,NaN,NaN,NaN,NaN
5639,Jermaine Cunningham,"6' 3""",20%,255 lbs,18%,4.89 sec,33%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5641,Alex Carrington,"6' 5""",70%,301 lbs,97%,4.92 sec,26%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26 reps,70%,10.50 in,92%,33.25 in,35%
5643,George Selvie,"6' 4""",50%,270 lbs,60%,4.93 sec,24%,4.63 sec,22%,7.48 sec,10%,30.5 in,25%,109 in,20%,24 reps,50%,9.38 in,15%,34.50 in,75%
5644,Gerald McCoy,"6' 4""",60%,300 lbs,30%,5.04 sec,64%,4.48 sec,82%,7.32 sec,79%,30.5 in,70%,114 in,92%,23 reps,15%,10.25 in,70%,33.75 in,57%
5645,Dan Williams,"6' 3""",40%,315 lbs,77%,5.19 sec,30%,4.87 sec,10%,7.88 sec,16%,32.0 in,80%,96 in,7%,27 reps,40%,10.13 in,65%,33.50 in,50%
5646,Terrence Cody,"6' 4""",60%,349 lbs,95%,5.71 sec,0%,5.03 sec,6%,8.19 sec,2%,20.5 in,0%,90 in,0%,NaN,NaN,NaN,NaN,NaN,NaN
5647,Jared Odrick,"6' 5""",90%,298 lbs,26%,5.03 sec,66%,4.59 sec,60%,7.22 sec,88%,29.0 in,50%,106 in,55%,26 reps,30%,NaN,NaN,NaN,NaN
5649,Arthur Jones,"6' 3""",40%,320 lbs,83%,5.04 sec,64%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5650,Geno Atkins,"6' 1""",10%,300 lbs,30%,4.75 sec,100%,4.43 sec,90%,7.33 sec,78%,33.0 in,90%,117 in,98%,34 reps,83%,9.63 in,30%,32.00 in,10%
5651,Tyson Alualu,"6' 3""",20%,304 lbs,99%,4.87 sec,38%,4.43 sec,47%,7.15 sec,60%,35.5 in,80%,116 in,55%,21 reps,30%,NaN,NaN,NaN,NaN
5652,Lamarr Houston,"6' 3""",70%,274 lbs,100%,4.84 sec,23%,4.71 sec,2%,7.61 sec,0%,33.5 in,50%,114 in,40%,30 reps,91%,10.00 in,80%,33.00 in,60%
5653,D'Anthony Smith,"6' 2""",20%,300 lbs,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00 in,50%,32.38 in,23%
5654,Cam Thomas,"6' 4""",50%,330 lbs,100%,5.16 sec,2%,4.78 sec,9%,7.68 sec,3%,29.0 in,13%,102 in,0%,31 reps,88%,NaN,NaN,NaN,NaN
5655,Mike Neal,"6' 3""",70%,262 lbs,95%,4.87 sec,17%,4.53 sec,9%,7.53 sec,3%,33.0 in,40%,113 in,30%,31 reps,92%,NaN,NaN,NaN,NaN
5656,Jeff Owens,"6' 3""",40%,300 lbs,30%,4.97 sec,80%,4.68 sec,45%,NaN,NaN,30.0 in,60%,101 in,23%,44 reps,96%,NaN,NaN,NaN,NaN
5657,Torell Troup,"6' 3""",40%,320 lbs,83%,5.12 sec,40%,4.73 sec,35%,7.61 sec,36%,29.0 in,50%,98 in,10%,34 reps,83%,NaN,NaN,NaN,NaN
5659,Sean Weatherspoon,"6' 2""",50%,244 lbs,65%,4.62 sec,75%,4.38 sec,30%,6.99 sec,76%,40.0 in,92%,123 in,87%,34 reps,94%,NaN,NaN,NaN,NaN
5661,NaVorro Bowman,"6' 0""",7%,242 lbs,50%,4.70 sec,52%,4.59 sec,7%,6.91 sec,87%,29.5 in,9%,115 in,45%,26 reps,75%,9.88 in,70%,33.00 in,60%
5662,Sean Lee,"6' 2""",50%,245 lbs,70%,4.71 sec,50%,NaN,NaN,NaN,NaN,37.5 in,83%,120 in,75%,24 reps,60%,8.75 in,5%,32.00 in,30%
5667,Dekoda Watson,"6' 2""",10%,245 lbs,7%,4.55 sec,94%,4.11 sec,93%,7.06 sec,81%,40.0 in,96%,134 in,97%,24 reps,50%,NaN,NaN,NaN,NaN
5668,Rolando McClain,"6' 4""",90%,259 lbs,94%,4.68 sec,58%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24 reps,60%,9.38 in,30%,33.00 in,60%
5669,Brandon Spikes,"6' 2""",50%,255 lbs,92%,5.05 sec,4%,NaN,NaN,6.97 sec,79%,29.0 in,8%,111 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
5670,Daryl Washington,"6' 2""",50%,230 lbs,10%,4.58 sec,83%,NaN,NaN,NaN,NaN,31.0 in,20%,114 in,40%,17 reps,10%,NaN,NaN,NaN,NaN
5671,Pat Angerer,"6' 1""",10%,235 lbs,20%,4.71 sec,50%,4.29 sec,55%,7.04 sec,68%,35.0 in,60%,110 in,15%,26 reps,75%,NaN,NaN,NaN,NaN
5672,Donald Butler,"6' 1""",10%,242 lbs,50%,4.61 sec,77%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35 reps,95%,NaN,NaN,NaN,NaN
5673,Jamar Chaney,"6' 0""",7%,242 lbs,50%,4.54 sec,90%,4.29 sec,55%,6.90 sec,89%,39.0 in,90%,124 in,90%,26 reps,75%,NaN,NaN,NaN,NaN
5674,Darryl Sharpton,"5' 11""",3%,235 lbs,20%,4.81 sec,26%,4.42 sec,20%,7.19 sec,44%,NaN,NaN,NaN,NaN,24 reps,60%,NaN,NaN,NaN,NaN
5675,Mike McLaughlin,"6' 1""",30%,252 lbs,77%,4.84 sec,32%,4.11 sec,96%,6.85 sec,97%,38.5 in,98%,114 in,75%,29 reps,85%,NaN,NaN,NaN,NaN
5677,Kion Wilson,"6' 0""",7%,230 lbs,10%,4.87 sec,17%,4.53 sec,9%,NaN,NaN,36.5 in,75%,123 in,87%,27 reps,80%,NaN,NaN,NaN,NaN
5678,Joe Haden,"5' 11""",50%,195 lbs,63%,4.52 sec,35%,4.11 sec,62%,6.66 sec,85%,35.5 in,50%,124 in,65%,18 reps,80%,NaN,NaN,NaN,NaN
5679,Kyle Wilson,"5' 10""",20%,190 lbs,40%,4.43 sec,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25 reps,97%,NaN,NaN,NaN,NaN
5680,Perrish Cox,"6' 0""",65%,190 lbs,40%,4.58 sec,20%,NaN,NaN,NaN,NaN,32.5 in,13%,113 in,8%,12 reps,20%,8.38 in,10%,30.00 in,8%
5681,Patrick Robinson,"5' 11""",50%,191 lbs,45%,4.46 sec,57%,NaN,NaN,6.78 sec,62%,39.0 in,83%,124 in,65%,8 reps,8%,NaN,NaN,NaN,NaN
5682,Devin McCourty,"5' 10""",10%,195 lbs,8%,4.38 sec,94%,4.07 sec,90%,6.70 sec,88%,36.0 in,55%,126 in,87%,36 reps,100%,NaN,NaN,NaN,NaN
5683,Kareem Jackson,"5' 10""",10%,185 lbs,1%,4.40 sec,92%,4.14 sec,70%,6.92 sec,61%,37.5 in,75%,118 in,35%,13 reps,15%,NaN,NaN,NaN,NaN
5684,Brandon Ghee,"6' 0""",65%,200 lbs,82%,4.37 sec,90%,4.07 sec,70%,6.75 sec,68%,37.0 in,70%,127 in,80%,15 reps,50%,NaN,NaN,NaN,NaN
5685,Dominique Franks,"5' 11""",50%,194 lbs,60%,4.46 sec,57%,4.33 sec,15%,7.32 sec,0%,33.5 in,20%,117 in,25%,10 reps,10%,NaN,NaN,NaN,NaN
5687,Jerome Murphy,"6' 1""",70%,185 lbs,18%,4.50 sec,43%,4.05 sec,80%,6.87 sec,40%,38.0 in,77%,127 in,80%,16 reps,60%,NaN,NaN,NaN,NaN
5690,Javier Arenas,"5' 9""",10%,197 lbs,70%,4.60 sec,16%,NaN,NaN,NaN,NaN,NaN,NaN,112 in,7%,NaN,NaN,NaN,NaN,NaN,NaN
5691,Myron Lewis,"6' 2""",93%,205 lbs,91%,4.42 sec,73%,NaN,NaN,NaN,NaN,37.0 in,70%,126 in,75%,10 reps,10%,NaN,NaN,NaN,NaN
5694,Chris Cook,"6' 2""",93%,212 lbs,95%,4.45 sec,60%,4.23 sec,32%,6.88 sec,39%,38.0 in,77%,132 in,94%,7 reps,6%,9.25 in,60%,32.50 in,87%
5696,Alterraun Verner,"5' 10""",20%,187 lbs,23%,4.52 sec,35%,4.12 sec,60%,6.70 sec,81%,32.0 in,10%,116 in,20%,11 reps,15%,9.13 in,50%,31.00 in,30%
5697,Walter Thurmond,"5' 11""",20%,190 lbs,5%,4.53 sec,63%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.63 in,80%,32.75 in,75%
5698,Nolan Carroll,"6' 1""",70%,205 lbs,91%,4.42 sec,73%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25 in,60%,31.00 in,30%
5702,Crezdon Butler,"6' 1""",70%,191 lbs,45%,4.43 sec,70%,4.23 sec,32%,7.08 sec,11%,39.5 in,87%,121 in,50%,17 reps,70%,NaN,NaN,NaN,NaN
5704,Eric Berry,"6' 0""",35%,212 lbs,65%,4.40 sec,92%,4.23 sec,45%,6.80 sec,69%,43.0 in,95%,130 in,94%,19 reps,70%,NaN,NaN,NaN,NaN
5705,Taylor Mays,"6' 3""",93%,236 lbs,98%,4.31 sec,100%,NaN,NaN,NaN,NaN,41.0 in,92%,125 in,83%,24 reps,92%,NaN,NaN,NaN,NaN
5706,Earl Thomas III,"5' 10""",10%,202 lbs,20%,4.43 sec,90%,NaN,NaN,NaN,NaN,NaN,NaN,113 in,13%,21 reps,80%,9.38 in,60%,31.25 in,37%
5708,Nate Allen,"6' 0""",35%,214 lbs,73%,4.50 sec,73%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16 reps,40%,9.38 in,60%,31.00 in,30%
5709,Morgan Burnett,"6' 1""",40%,210 lbs,50%,4.51 sec,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16 reps,40%,NaN,NaN,NaN,NaN
5710,Larry Asante,"6' 0""",35%,210 lbs,50%,4.62 sec,32%,4.17 sec,60%,7.00 sec,45%,37.5 in,75%,118 in,35%,14 reps,20%,NaN,NaN,NaN,NaN
5711,Reshad Jones,"6' 1""",40%,215 lbs,77%,4.51 sec,70%,4.54 sec,6%,7.43 sec,0%,39.5 in,90%,118 in,35%,24 reps,92%,NaN,NaN,NaN,NaN
5712,Kam Chancellor,"6' 3""",93%,225 lbs,92%,4.62 sec,32%,4.41 sec,12%,7.36 sec,0%,32.0 in,15%,116 in,25%,22 reps,85%,9.50 in,70%,33.00 in,80%
5713,Major Wright,"5' 11""",20%,204 lbs,27%,4.44 sec,88%,4.36 sec,18%,6.95 sec,57%,37.5 in,75%,119 in,40%,14 reps,20%,9.75 in,85%,31.00 in,30%
5714,Kendrick Lewis,"6' 0""",35%,205 lbs,30%,4.73 sec,8%,4.33 sec,22%,6.88 sec,63%,31.5 in,10%,116 in,25%,16 reps,40%,NaN,NaN,NaN,NaN
5716,Darrell Stuckey,"5' 11""",20%,212 lbs,65%,4.46 sec,84%,NaN,NaN,NaN,NaN,39.5 in,90%,120 in,50%,17 reps,50%,NaN,NaN,NaN,NaN
5718,T.J. Ward,"5' 10""",10%,200 lbs,16%,4.56 sec,53%,NaN,NaN,NaN,NaN,34.0 in,30%,121 in,60%,19 reps,70%,NaN,NaN,NaN,NaN
5742,Linval Joseph,"6' 4""",60%,329 lbs,90%,5.09 sec,50%,4.71 sec,40%,8.12 sec,5%,30.0 in,60%,100 in,20%,39 reps,92%,10.00 in,50%,34.50 in,80%
5743,Corey Peters,"6' 3""",40%,335 lbs,92%,4.98 sec,77%,4.76 sec,27%,7.56 sec,43%,33.0 in,90%,98 in,10%,NaN,NaN,NaN,NaN,NaN,NaN
5744,Earl Mitchell,"6' 3""",40%,310 lbs,70%,4.75 sec,100%,4.55 sec,70%,7.68 sec,28%,28.5 in,45%,107 in,60%,25 reps,25%,NaN,NaN,NaN,NaN
5746,Tony Moeaki,"6' 3""",10%,252 lbs,43%,4.69 sec,67%,4.42 sec,43%,7.10 sec,67%,34.0 in,65%,113 in,40%,18 reps,20%,10.13 in,70%,33.25 in,55%
5747,Perry Riley,"6' 0""",7%,238 lbs,33%,4.69 sec,55%,4.25 sec,65%,6.97 sec,79%,35.5 in,65%,119 in,70%,NaN,NaN,9.50 in,40%,32.50 in,47%
5748,Clay Harbor,"6' 3""",10%,240 lbs,9%,4.62 sec,80%,4.37 sec,56%,NaN,NaN,40.0 in,94%,120 in,83%,30 reps,94%,9.50 in,17%,32.63 in,20%
5749,O'Brien Schofield,"6' 3""",70%,242 lbs,50%,4.63 sec,72%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.50 in,40%,32.38 in,43%
5751,Andrew Quarless,"6' 4""",30%,252 lbs,43%,4.68 sec,70%,NaN,NaN,NaN,NaN,32.0 in,40%,112 in,30%,23 reps,70%,10.25 in,80%,34.00 in,80%
5759,David Gettis,"6' 3""",80%,217 lbs,83%,4.43 sec,75%,4.41 sec,14%,6.94 sec,42%,34.5 in,40%,124 in,75%,15 reps,50%,10.00 in,90%,34.00 in,91%
5760,Kyle Williams,"5' 10""",10%,186 lbs,17%,4.40 sec,82%,4.19 sec,60%,7.00 sec,32%,33.0 in,20%,118 in,40%,11 reps,20%,9.13 in,40%,30.00 in,7%
5764,Jim Dray,"6' 5""",60%,255 lbs,55%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17 reps,15%,10.10 in,68%,33.00 in,30%
5773,Kavell Conner,"6' 0""",7%,245 lbs,70%,4.59 sec,82%,4.60 sec,6%,7.36 sec,20%,33.5 in,50%,110 in,15%,24 reps,60%,NaN,NaN,NaN,NaN
5775,Al Woods,"6' 4""",60%,330 lbs,90%,5.15 sec,36%,4.67 sec,47%,7.45 sec,62%,37.0 in,100%,109 in,80%,NaN,NaN,NaN,NaN,NaN,NaN
5787,A.J. Edds,"6' 4""",90%,256 lbs,92%,4.62 sec,75%,4.28 sec,60%,7.19 sec,44%,33.0 in,40%,117 in,55%,16 reps,9%,NaN,NaN,NaN,NaN
5788,Keenan Clayton,"6' 1""",10%,230 lbs,10%,4.59 sec,82%,NaN,NaN,NaN,NaN,41.5 in,94%,124 in,90%,27 reps,80%,9.50 in,40%,32.50 in,47%
5793,Sherrick McManis,"5' 11""",20%,203 lbs,23%,4.48 sec,80%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5795,Hall Davis,"6' 4""",50%,270 lbs,60%,4.84 sec,45%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28 reps,80%,NaN,NaN,NaN,NaN
5803,Stevenson Sylvester,"6' 2""",50%,230 lbs,10%,4.71 sec,50%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,50%,NaN,NaN,NaN,NaN
5814,Arthur Moats,"6' 0""",0%,246 lbs,8%,4.64 sec,89%,4.37 sec,65%,7.22 sec,39%,36.5 in,87%,122 in,90%,24 reps,50%,NaN,NaN,NaN,NaN
5821,Clifton Geathers,"6' 8""",99%,299 lbs,96%,4.98 sec,14%,NaN,NaN,7.69 sec,2%,36.0 in,83%,112 in,40%,26 reps,70%,NaN,NaN,NaN,NaN
5826,Travis Goethel,"6' 3""",70%,237 lbs,30%,4.81 sec,26%,4.54 sec,9%,6.93 sec,84%,35.0 in,60%,111 in,20%,21 reps,40%,NaN,NaN,NaN,NaN
5829,Brandon Minor,"6' 1""",90%,218 lbs,63%,4.59 sec,36%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5840,Trindon Holliday,"5' 5""",0%,166 lbs,3%,4.34 sec,92%,4.48 sec,9%,6.54 sec,93%,42.0 in,98%,116 in,25%,10 reps,10%,8.25 in,8%,28.38 in,1%
5842,Riar Geer,"6' 4""",30%,250 lbs,37%,5.00 sec,6%,4.29 sec,75%,NaN,NaN,33.0 in,50%,106 in,7%,13 reps,8%,10.13 in,70%,33.00 in,30%
5847,Cody Grimm,"5' 11""",20%,210 lbs,50%,4.55 sec,57%,NaN,NaN,6.58 sec,100%,35.5 in,50%,117 in,30%,11 reps,8%,NaN,NaN,NaN,NaN
5851,Willie Young,"6' 4""",90%,259 lbs,94%,4.88 sec,13%,4.56 sec,8%,7.24 sec,36%,38.0 in,85%,118 in,60%,25 reps,70%,NaN,NaN,NaN,NaN
5864,Phillip Adams,"5' 11""",50%,195 lbs,63%,4.50 sec,43%,4.34 sec,14%,7.16 sec,7%,34.5 in,40%,124 in,65%,NaN,NaN,NaN,NaN,NaN,NaN
5868,C.J. Wilson,"6' 3""",20%,290 lbs,92%,4.83 sec,48%,4.77 sec,9%,NaN,NaN,33.0 in,50%,116 in,55%,32 reps,90%,NaN,NaN,NaN,NaN
5870,Jammie Kirlew,"6' 3""",20%,259 lbs,26%,5.05 sec,8%,4.74 sec,11%,7.50 sec,9%,33.0 in,50%,111 in,30%,26 reps,70%,NaN,NaN,NaN,NaN
5882,Doug Worthington,"6' 5""",90%,318 lbs,81%,5.02 sec,68%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,6%,NaN,NaN,NaN,NaN
5883,Kurt Coleman,"5' 11""",20%,208 lbs,43%,4.55 sec,57%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5884,Brandon Deaderick,"6' 4""",60%,306 lbs,55%,5.08 sec,53%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5889,Erik Lorig,"6' 4""",100%,250 lbs,73%,4.86 sec,25%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5890,Josh Hull,"6' 3""",70%,245 lbs,70%,4.93 sec,8%,4.07 sec,92%,6.86 sec,92%,32.5 in,35%,115 in,45%,25 reps,70%,NaN,NaN,NaN,NaN
5892,Steve Maneri,"6' 6""",80%,290 lbs,100%,4.84 sec,28%,4.50 sec,30%,7.55 sec,0%,28.0 in,10%,100 in,0%,23 reps,70%,NaN,NaN,NaN,NaN
5894,Chris Ivory,"6' 0""",80%,223 lbs,75%,4.48 sec,72%,4.60 sec,5%,7.20 sec,12%,36.0 in,70%,119 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
5897,Victor Cruz,"6' 0""",30%,204 lbs,50%,4.47 sec,63%,4.17 sec,65%,6.96 sec,38%,41.5 in,96%,125 in,80%,16 reps,60%,NaN,NaN,NaN,NaN
5899,Jeff Cumberland,"6' 4""",30%,260 lbs,75%,4.45 sec,95%,4.39 sec,52%,6.89 sec,95%,35.5 in,80%,118 in,75%,20 reps,40%,NaN,NaN,NaN,NaN
5906,Kevin Jurovich,"6' 0""",30%,190 lbs,24%,4.45 sec,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14 reps,40%,9.50 in,70%,30.50 in,9%
5908,Thad Lewis,"6' 0""",5%,219 lbs,33%,4.84 sec,43%,NaN,NaN,NaN,NaN,28.0 in,18%,107 in,30%,NaN,NaN,9.63 in,50%,32.63 in,65%
5920,Scott Long,"6' 2""",60%,214 lbs,78%,4.46 sec,67%,4.09 sec,84%,6.45 sec,96%,41.5 in,96%,123 in,70%,20 reps,90%,9.75 in,80%,31.25 in,23%
5932,Logan Paulsen,"6' 5""",60%,268 lbs,91%,4.89 sec,18%,4.52 sec,23%,7.36 sec,20%,27.5 in,8%,107 in,9%,25 reps,83%,NaN,NaN,NaN,NaN
5957,Brandon Williams,"6' 3""",70%,248 lbs,82%,4.37 sec,100%,4.19 sec,77%,NaN,NaN,30.5 in,15%,118 in,60%,18 reps,15%,8.63 in,3%,32.50 in,47%
5959,Vance Walker,"6' 2""",10%,305 lbs,99%,5.32 sec,0%,NaN,NaN,NaN,NaN,33.0 in,50%,NaN,NaN,29 reps,83%,NaN,NaN,NaN,NaN
5960,Jason Phillips,"6' 1""",10%,240 lbs,40%,4.60 sec,80%,4.32 sec,45%,NaN,NaN,34.0 in,53%,120 in,75%,20 reps,30%,NaN,NaN,NaN,NaN
5961,Ahtyba Rubin,"6' 2""",20%,310 lbs,70%,5.20 sec,29%,5.00 sec,7%,8.05 sec,7%,28.0 in,40%,106 in,55%,35 reps,87%,NaN,NaN,NaN,NaN
5962,Jahi Word-Daniels,"6' 0""",65%,194 lbs,60%,4.59 sec,18%,NaN,NaN,NaN,NaN,35.5 in,50%,122 in,55%,24 reps,96%,NaN,NaN,NaN,NaN
5963,Terrance Knighton,"6' 3""",40%,355 lbs,97%,4.93 sec,85%,4.78 sec,20%,7.90 sec,15%,28.0 in,40%,103 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
5964,Don Carey,"5' 11""",20%,202 lbs,20%,4.49 sec,77%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18 reps,60%,NaN,NaN,NaN,NaN
5965,Bradley Fletcher,"6' 0""",65%,200 lbs,82%,4.44 sec,65%,4.29 sec,20%,7.04 sec,14%,38.5 in,80%,122 in,55%,20 reps,90%,NaN,NaN,NaN,NaN
5975,Zach Potter,"6' 7""",95%,269 lbs,92%,4.90 sec,16%,4.48 sec,33%,7.75 sec,0%,31.0 in,30%,106 in,7%,20 reps,40%,NaN,NaN,NaN,NaN
5985,Cary Harris,"5' 11""",20%,187 lbs,2%,4.66 sec,18%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18 reps,60%,NaN,NaN,NaN,NaN
6004,D.J. Johnson,"6' 1""",70%,191 lbs,45%,4.50 sec,43%,4.30 sec,19%,7.00 sec,18%,32.0 in,10%,116 in,20%,7 reps,6%,NaN,NaN,NaN,NaN
6031,Adrian Grady,"6' 1""",10%,290 lbs,10%,5.18 sec,31%,4.72 sec,38%,7.68 sec,28%,32.0 in,80%,105 in,50%,31 reps,70%,NaN,NaN,NaN,NaN
6036,Darryl Richard,"6' 4""",60%,295 lbs,20%,5.08 sec,53%,NaN,NaN,NaN,NaN,25.5 in,15%,NaN,NaN,17 reps,3%,NaN,NaN,NaN,NaN
6046,Jonathon Amaya,"6' 2""",80%,190 lbs,5%,4.43 sec,90%,NaN,NaN,NaN,NaN,28.0 in,0%,118 in,35%,8 reps,2%,NaN,NaN,NaN,NaN
6063,Ramon Foster,"6' 5""",70%,328 lbs,83%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.25 in,80%,32.38 in,10%
6067,Chris Campbell,"6' 5""",20%,328 lbs,85%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14 reps,5%,NaN,NaN,NaN,NaN
6079,Trumaine McBride,"5' 9""",10%,185 lbs,18%,4.57 sec,22%,4.32 sec,16%,6.96 sec,23%,34.5 in,40%,122 in,55%,14 reps,40%,NaN,NaN,NaN,NaN
6093,Lemuel Jeanpierre,"6' 3""",30%,301 lbs,30%,5.14 sec,77%,4.78 sec,26%,7.40 sec,97%,28.5 in,50%,105 in,80%,30 reps,70%,NaN,NaN,NaN,NaN
6116,Alvin Bowen,"6' 1""",10%,222 lbs,3%,4.79 sec,29%,4.30 sec,50%,7.21 sec,40%,34.0 in,53%,119 in,70%,15 reps,7%,NaN,NaN,NaN,NaN
6118,Barry Church,"6' 2""",80%,218 lbs,84%,4.69 sec,12%,4.17 sec,60%,6.65 sec,97%,36.0 in,55%,121 in,60%,19 reps,70%,9.38 in,60%,33.25 in,87%
6123,Junior Galette,"6' 2""",50%,254 lbs,91%,4.77 sec,33%,4.16 sec,83%,7.04 sec,68%,33.5 in,50%,113 in,30%,25 reps,70%,9.00 in,10%,33.00 in,60%
6128,A.J. Jefferson,"6' 1""",70%,190 lbs,40%,4.42 sec,73%,4.00 sec,86%,6.81 sec,53%,44.0 in,98%,126 in,75%,7 reps,6%,9.25 in,60%,32.50 in,87%
6153,Titus Brown,"6' 3""",70%,250 lbs,86%,4.82 sec,25%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18 reps,15%,NaN,NaN,NaN,NaN
6160,Baraka Atkins,"6' 4""",90%,268 lbs,98%,4.69 sec,55%,NaN,NaN,NaN,NaN,33.0 in,40%,111 in,20%,22 reps,45%,NaN,NaN,NaN,NaN
6186,Antwan Applewhite,"6' 3""",70%,258 lbs,93%,4.73 sec,45%,4.36 sec,35%,7.50 sec,5%,35.0 in,60%,115 in,45%,25 reps,70%,NaN,NaN,NaN,NaN
6191,Brandon Lang,"6' 3""",70%,266 lbs,97%,5.00 sec,6%,4.68 sec,3%,NaN,NaN,28.5 in,7%,104 in,9%,20 reps,30%,NaN,NaN,NaN,NaN
6192,CJ Spillman,"6' 0""",35%,199 lbs,14%,4.45 sec,86%,4.33 sec,22%,7.05 sec,22%,41.5 in,93%,122 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
6195,Clint Gresham,"6' 3""",30%,260 lbs,0%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.00 in,0%,31.50 in,12%
6202,Ricky Jean Francois,"6' 2""",20%,309 lbs,67%,5.19 sec,30%,NaN,NaN,NaN,NaN,26.0 in,20%,93 in,3%,25 reps,25%,NaN,NaN,NaN,NaN
6205,Darian Stewart,"5' 11""",20%,214 lbs,73%,4.53 sec,63%,4.32 sec,25%,NaN,NaN,37.0 in,70%,122 in,70%,12 reps,10%,NaN,NaN,NaN,NaN
6208,Kyle Bosworth,"6' 1""",10%,236 lbs,25%,4.69 sec,55%,4.11 sec,90%,6.67 sec,100%,32.5 in,35%,117 in,55%,25 reps,70%,NaN,NaN,NaN,NaN
6209,Tyron Brackenridge,"5' 11""",50%,189 lbs,30%,4.67 sec,7%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6220,Marcus Dixon,"6' 4""",50%,295 lbs,95%,5.20 sec,0%,4.67 sec,18%,7.58 sec,6%,26.0 in,4%,111 in,30%,21 reps,30%,NaN,NaN,NaN,NaN
6224,Larry Grant,"6' 1""",10%,245 lbs,70%,4.76 sec,37%,4.22 sec,70%,6.77 sec,96%,31.5 in,25%,113 in,30%,20 reps,30%,NaN,NaN,NaN,NaN
6225,Craig Dahl,"6' 1""",40%,212 lbs,65%,4.45 sec,86%,4.26 sec,38%,6.69 sec,90%,35.0 in,45%,122 in,70%,17 reps,50%,NaN,NaN,NaN,NaN
6227,Lorenzo Alexander,"6' 1""",10%,245 lbs,70%,5.12 sec,1%,4.55 sec,8%,7.53 sec,3%,29.5 in,9%,106 in,9%,28 reps,85%,NaN,NaN,NaN,NaN
6246,Jack Williams,"5' 9""",10%,183 lbs,13%,4.43 sec,70%,NaN,NaN,6.91 sec,34%,35.5 in,50%,121 in,50%,19 reps,85%,NaN,NaN,NaN,NaN
6247,Chris Maragos,"5' 10""",10%,200 lbs,16%,4.49 sec,77%,3.98 sec,94%,6.52 sec,100%,36.0 in,55%,121 in,60%,15 reps,30%,NaN,NaN,NaN,NaN
6260,Josh Mauga,"6' 1""",10%,245 lbs,70%,4.61 sec,77%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
